"","sampleid","location","longitude","latitude","pop"
"1","ENPAK19","AK","Available upon request","Available upon request","ENP"
"2","ENPAK20","AK","Available upon request","Available upon request","ENP"
"3","ENPAK21","AK","Available upon request","Available upon request","ENP"
"4","ENPAK22","AK","Available upon request","Available upon request","ENP"
"5","ENPAK23","AK","Available upon request","Available upon request","ENP"
"6","ENPAK24","AK","Available upon request","Available upon request","ENP"
"7","ENPAK25","AK","Available upon request","Available upon request","ENP"
"8","ENPAK26","AK","Available upon request","Available upon request","ENP"
"9","ENPAK27","AK","Available upon request","Available upon request","ENP"
"10","ENPAK28","AK","Available upon request","Available upon request","ENP"
"11","ENPAK29","AK","Available upon request","Available upon request","ENP"
"12","ENPAK30","AK","Available upon request","Available upon request","ENP"
"13","ENPBC16","BC","Available upon request","Available upon request","ENP"
"14","ENPBC17","BC","Available upon request","Available upon request","ENP"
"15","ENPBC18","BC","Available upon request","Available upon request","ENP"
"16","ENPCA01","CA","Available upon request","Available upon request","ENP"
"17","ENPCA02","CA","Available upon request","Available upon request","ENP"
"18","ENPCA03","CA","Available upon request","Available upon request","ENP"
"19","ENPCA04","CA","Available upon request","Available upon request","ENP"
"20","ENPCA05","CA","Available upon request","Available upon request","ENP"
"21","ENPCA06","CA","Available upon request","Available upon request","ENP"
"22","ENPCA07","CA","Available upon request","Available upon request","ENP"
"23","ENPCA08","CA","Available upon request","Available upon request","ENP"
"24","ENPCA09","CA","Available upon request","Available upon request","ENP"
"25","ENPOR10","OR","Available upon request","Available upon request","ENP"
"26","ENPOR11","OR","Available upon request","Available upon request","ENP"
"27","ENPOR12","OR","Available upon request","Available upon request","ENP"
"28","ENPOR13","OR","Available upon request","Available upon request","ENP"
"29","ENPWA14","WA","Available upon request","Available upon request","ENP"
"30","ENPWA15","WA","Available upon request","Available upon request","ENP"
"31","GOC002","Bahía de La Paz","Available upon request","Available upon request","GOC"
"32","GOC006","Bahía de La Paz","Available upon request","Available upon request","GOC"
"33","GOC010","Bahía de La Paz","Available upon request","Available upon request","GOC"
"34","GOC025","Bahía de los Angeles","Available upon request","Available upon request","GOC"
"35","GOC038","pto. Refugio","Available upon request","Available upon request","GOC"
"36","GOC050","Bahía de Loreto","Available upon request","Available upon request","GOC"
"37","GOC053","Bahía de Loreto","Available upon request","Available upon request","GOC"
"38","GOC063","Bahía de Loreto","Available upon request","Available upon request","GOC"
"39","GOC068","Bahía de Loreto","Available upon request","Available upon request","GOC"
"40","GOC071","Bahía de Loreto","Available upon request","Available upon request","GOC"
"41","GOC077","Bahía de Loreto","Available upon request","Available upon request","GOC"
"42","GOC080","Bahía de los Angeles","Available upon request","Available upon request","GOC"
"43","GOC082","Bahía de los Angeles","Available upon request","Available upon request","GOC"
"44","GOC086","Bahía de los Angeles","Available upon request","Available upon request","GOC"
"45","GOC091","Bahía de los Angeles","Available upon request","Available upon request","GOC"
"46","GOC100","Bahía Kino","Available upon request","Available upon request","GOC"
"47","GOC111","Bahía Kino","Available upon request","Available upon request","GOC"
"48","GOC112","Bahía Kino","Available upon request","Available upon request","GOC"
"49","GOC116","Bahía Los Frailes","Available upon request","Available upon request","GOC"
"50","GOC125","Norte de Isla Tiburon","Available upon request","Available upon request","GOC"
