"","Cluster1","Cluster2"
"ENPAK19",1e-05,0.99999
"ENPAK20",1e-05,0.99999
"ENPAK21",0.006161,0.993839
"ENPAK22",0.009775,0.990225
"ENPAK23",1e-05,0.99999
"ENPAK24",0.002632,0.997368
"ENPAK25",1e-05,0.99999
"ENPAK26",1e-05,0.99999
"ENPAK27",1e-05,0.99999
"ENPAK28",0.009157,0.990843
"ENPAK29",0.000383,0.999617
"ENPAK30",1e-05,0.99999
"ENPBC16",0.008157,0.991843
"ENPBC17",0.010772,0.989228
"ENPBC18",1e-05,0.99999
"ENPCA01",0.259243,0.740757
"ENPCA02",0.010463,0.989537
"ENPCA03",1e-05,0.99999
"ENPCA04",0.060492,0.939508
"ENPCA05",0.067723,0.932277
"ENPCA06",1e-05,0.99999
"ENPCA07",0.004308,0.995692
"ENPCA08",0.014697,0.985303
"ENPCA09",0.478681,0.521319
"ENPOR10",0.004822,0.995178
"ENPOR11",0.011833,0.988167
"ENPOR12",1e-05,0.99999
"ENPOR13",1e-05,0.99999
"ENPWA14",1e-05,0.99999
"ENPWA15",0.008708,0.991292
"GOC002",0.99999,1e-05
"GOC006",0.99999,1e-05
"GOC010",0.468758,0.531242
"GOC025",0.99999,1e-05
"GOC038",0.99999,1e-05
"GOC050",0.99999,1e-05
"GOC053",0.99999,1e-05
"GOC063",0.99999,1e-05
"GOC068",0.99999,1e-05
"GOC071",0.99999,1e-05
"GOC077",0.99999,1e-05
"GOC080",0.99999,1e-05
"GOC082",0.99999,1e-05
"GOC086",0.99999,1e-05
"GOC091",0.99999,1e-05
"GOC100",0.99999,1e-05
"GOC111",0.99999,1e-05
"GOC112",0.99999,1e-05
"GOC116",0.99999,1e-05
"GOC125",0.99999,1e-05
