"","sample","rohcat","countcat","sumcat","software","totalROHMB"
"1","ENPAK19","0.1_1",418,75943004,"zoo",75.943004
"2","ENPAK19","1_5",5,6917831,"zoo",6.917831
"3","ENPAK20","0.1_1",408,75318572,"zoo",75.318572
"4","ENPAK20","1_5",4,8072604,"zoo",8.072604
"5","ENPAK21","0.1_1",374,79843811,"zoo",79.843811
"6","ENPAK21","1_5",32,53535762,"zoo",53.535762
"7","ENPAK22","0.1_1",413,86166171,"zoo",86.166171
"8","ENPAK22","1_5",32,54183337,"zoo",54.183337
"9","ENPAK23","0.1_1",431,79725793,"zoo",79.725793
"10","ENPAK23","1_5",2,3073046,"zoo",3.073046
"11","ENPAK24","0.1_1",432,80251489,"zoo",80.251489
"12","ENPAK24","1_5",5,7057841,"zoo",7.057841
"13","ENPAK25","0.1_1",430,88230736,"zoo",88.230736
"14","ENPAK25","1_5",32,53557800,"zoo",53.5578
"15","ENPAK26","0.1_1",410,88079975,"zoo",88.079975
"16","ENPAK26","1_5",33,55912591,"zoo",55.912591
"17","ENPAK27","0.1_1",404,84401732,"zoo",84.401732
"18","ENPAK27","1_5",33,58187611,"zoo",58.187611
"19","ENPAK28","0.1_1",430,90654947,"zoo",90.654947
"20","ENPAK28","1_5",37,60558477,"zoo",60.558477
"21","ENPAK29","0.1_1",436,83346888,"zoo",83.346888
"22","ENPAK29","1_5",1,1511676,"zoo",1.511676
"23","ENPAK30","0.1_1",418,81138945,"zoo",81.138945
"24","ENPAK30","1_5",4,7750566,"zoo",7.750566
"25","ENPBC16","0.1_1",411,75354326,"zoo",75.354326
"26","ENPBC16","1_5",6,10331988,"zoo",10.331988
"27","ENPBC17","0.1_1",390,82483384,"zoo",82.483384
"28","ENPBC17","1_5",32,50920800,"zoo",50.9208
"29","ENPBC18","0.1_1",391,81627573,"zoo",81.627573
"30","ENPBC18","1_5",33,54963024,"zoo",54.963024
"31","ENPCA01","0.1_1",376,81097845,"zoo",81.097845
"32","ENPCA01","1_5",41,76410592,"zoo",76.410592
"33","ENPCA01","5_Inf",4,28070715,"zoo",28.070715
"34","ENPCA02","0.1_1",444,82648884,"zoo",82.648884
"35","ENPCA02","1_5",4,5692583,"zoo",5.692583
"36","ENPCA03","0.1_1",404,83393897,"zoo",83.393897
"37","ENPCA03","1_5",37,63177383,"zoo",63.177383
"38","ENPCA04","0.1_1",418,83452358,"zoo",83.452358
"39","ENPCA04","1_5",45,74782941,"zoo",74.782941
"40","ENPCA05","0.1_1",433,83730741,"zoo",83.730741
"41","ENPCA05","1_5",21,41288141,"zoo",41.288141
"42","ENPCA05","5_Inf",2,11168374,"zoo",11.168374
"43","ENPCA06","0.1_1",388,79605471,"zoo",79.605471
"44","ENPCA06","1_5",42,72717492,"zoo",72.717492
"45","ENPCA06","5_Inf",1,9153781,"zoo",9.153781
"46","ENPCA07","0.1_1",423,82228574,"zoo",82.228574
"47","ENPCA07","1_5",2,2796066,"zoo",2.796066
"48","ENPCA08","0.1_1",484,93209837,"zoo",93.209837
"49","ENPCA08","1_5",3,3530773,"zoo",3.530773
"50","ENPCA09","0.1_1",397,85871718,"zoo",85.871718
"51","ENPCA09","1_5",42,68177768,"zoo",68.177768
"52","ENPOR10","0.1_1",418,76892588,"zoo",76.892588
"53","ENPOR10","1_5",2,2994757,"zoo",2.994757
"54","ENPOR11","0.1_1",464,87864922,"zoo",87.864922
"55","ENPOR11","1_5",5,9695141,"zoo",9.695141
"56","ENPOR12","0.1_1",478,94911335,"zoo",94.911335
"57","ENPOR12","1_5",36,61013769,"zoo",61.013769
"58","ENPOR13","0.1_1",410,84653478,"zoo",84.653478
"59","ENPOR13","1_5",37,60983974,"zoo",60.983974
"60","ENPWA14","0.1_1",416,85834483,"zoo",85.834483
"61","ENPWA14","1_5",32,51656686,"zoo",51.656686
"62","ENPWA15","0.1_1",410,77443762,"zoo",77.443762
"63","ENPWA15","1_5",5,8692239,"zoo",8.692239
"64","GOC002","0.1_1",1292,439037500,"zoo",439.0375
"65","GOC002","1_5",252,472930894,"zoo",472.930894
"66","GOC002","5_Inf",12,71216146,"zoo",71.216146
"67","GOC006","0.1_1",1177,414017450,"zoo",414.01745
"68","GOC006","1_5",249,437787813,"zoo",437.787813
"69","GOC006","5_Inf",4,25457917,"zoo",25.457917
"70","GOC010","0.1_1",307,67528784,"zoo",67.528784
"71","GOC010","1_5",34,58260408,"zoo",58.260408
"72","GOC025","0.1_1",1248,451692014,"zoo",451.692014
"73","GOC025","1_5",231,409231367,"zoo",409.231367
"74","GOC025","5_Inf",4,27925824,"zoo",27.925824
"75","GOC038","0.1_1",1193,423225439,"zoo",423.225439
"76","GOC038","1_5",250,439605458,"zoo",439.605458
"77","GOC038","5_Inf",8,52474638,"zoo",52.474638
"78","GOC050","0.1_1",1285,464326682,"zoo",464.326682
"79","GOC050","1_5",227,398100510,"zoo",398.10051
"80","GOC050","5_Inf",5,31453578,"zoo",31.453578
"81","GOC053","0.1_1",1220,429057347,"zoo",429.057347
"82","GOC053","1_5",239,426917135,"zoo",426.917135
"83","GOC053","5_Inf",5,28764489,"zoo",28.764489
"84","GOC063","0.1_1",1179,408243208,"zoo",408.243208
"85","GOC063","1_5",230,420359921,"zoo",420.359921
"86","GOC063","5_Inf",3,24483960,"zoo",24.48396
"87","GOC068","0.1_1",1226,428416828,"zoo",428.416828
"88","GOC068","1_5",229,412902136,"zoo",412.902136
"89","GOC068","5_Inf",2,16886217,"zoo",16.886217
"90","GOC071","0.1_1",1214,425011012,"zoo",425.011012
"91","GOC071","1_5",217,400556124,"zoo",400.556124
"92","GOC071","5_Inf",7,48554339,"zoo",48.554339
"93","GOC077","0.1_1",1268,427769116,"zoo",427.769116
"94","GOC077","1_5",213,373897632,"zoo",373.897632
"95","GOC077","5_Inf",5,33230172,"zoo",33.230172
"96","GOC080","0.1_1",1219,430544915,"zoo",430.544915
"97","GOC080","1_5",256,459229092,"zoo",459.229092
"98","GOC080","5_Inf",2,17198078,"zoo",17.198078
"99","GOC082","0.1_1",1187,401661291,"zoo",401.661291
"100","GOC082","1_5",270,466158399,"zoo",466.158399
"101","GOC082","5_Inf",4,23831810,"zoo",23.83181
"102","GOC086","0.1_1",1281,461087601,"zoo",461.087601
"103","GOC086","1_5",242,413701624,"zoo",413.701624
"104","GOC086","5_Inf",6,41372331,"zoo",41.372331
"105","GOC091","0.1_1",1243,447863168,"zoo",447.863168
"106","GOC091","1_5",243,443291224,"zoo",443.291224
"107","GOC091","5_Inf",10,70538240,"zoo",70.53824
"108","GOC100","0.1_1",1289,426789735,"zoo",426.789735
"109","GOC100","1_5",257,470821958,"zoo",470.821958
"110","GOC100","5_Inf",9,61036311,"zoo",61.036311
"111","GOC111","0.1_1",1331,463539743,"zoo",463.539743
"112","GOC111","1_5",214,371237182,"zoo",371.237182
"113","GOC111","5_Inf",7,44927599,"zoo",44.927599
"114","GOC112","0.1_1",1339,459373402,"zoo",459.373402
"115","GOC112","1_5",221,379126301,"zoo",379.126301
"116","GOC112","5_Inf",8,51168535,"zoo",51.168535
"117","GOC116","0.1_1",1360,474993688,"zoo",474.993688
"118","GOC116","1_5",239,420995322,"zoo",420.995322
"119","GOC116","5_Inf",7,47529158,"zoo",47.529158
"120","GOC125","0.1_1",1148,402811878,"zoo",402.811878
"121","GOC125","1_5",209,384481153,"zoo",384.481153
"122","GOC125","5_Inf",4,26753930,"zoo",26.75393
