time_kyr,RSL_95low_m,RSL_95high_m,RSL_Pmax_m,RSL_Pmax95high_m,RSL_Pmax95low_m
0,-27.11,15.371,1.705,7.364,-3.955
0.125,-6.957,11.752,1.642,4.746,-1.462
0.25,-5.764,15.717,1.018,4.075,-2.04
0.375,-11.4,8.563,-0.066,2.987,-3.12
0.5,-12.449,7.841,-0.838,2.218,-3.894
0.625,-13.355,7.908,-0.688,2.368,-3.744
0.75,-7.764,15.841,-0.129,2.935,-3.193
0.875,-10.147,12.425,-0.096,2.967,-3.159
1,-14.444,9.398,-0.521,2.545,-3.588
1.125,-16.183,8.822,-0.63,2.44,-3.699
1.25,-9.642,14.219,-0.272,2.793,-3.337
1.375,-10.704,10.428,0.004,3.059,-3.051
1.5,-11.389,9.682,0.024,3.077,-3.029
1.625,-12.8,8.865,0.361,3.416,-2.694
1.75,-10.889,11.057,1.391,4.449,-1.668
1.875,-5.344,14.03,2.421,5.47,-0.629
2,-7.683,13.498,2.343,5.401,-0.714
2.125,-11.651,13.498,1.118,4.19,-1.953
2.25,-13.119,7.541,-0.117,2.936,-3.171
2.375,-11.761,11.336,-0.602,2.462,-3.666
2.5,-10.667,11.272,-0.74,2.322,-3.802
2.625,-11.779,7.735,-1.134,1.92,-4.188
2.75,-13.194,7.421,-1.708,1.346,-4.761
2.875,-13.868,7.655,-2.09,0.965,-5.145
3,-12.853,7.596,-2.202,0.852,-5.255
3.125,-13.793,7.304,-2.07,0.984,-5.124
3.25,-14.129,13.319,-1.616,1.464,-4.696
3.375,-14.788,11.516,-0.994,2.084,-4.071
3.5,-16.307,15.025,-0.691,2.413,-3.794
3.625,-15.63,15.413,-1.115,1.982,-4.212
3.75,-13.829,10.612,-2.267,0.8,-5.335
3.875,-15.052,8.397,-3.741,-0.676,-6.806
4,-17.644,4.056,-4.95,-1.89,-8.009
4.125,-18.067,2.474,-5.544,-2.491,-8.598
4.25,-18.062,3.203,-5.679,-2.621,-8.737
4.375,-18.552,3.757,-5.81,-2.748,-8.873
4.5,-17.923,4.917,-6.334,-3.273,-9.396
4.625,-16.544,4.115,-7.44,-4.384,-10.496
4.75,-20.818,0.776,-9.086,-6.029,-12.143
4.875,-24.423,-0.952,-10.822,-7.758,-13.886
5,-27.424,-3.526,-11.832,-8.763,-14.9
5.125,-23.179,-1.906,-11.641,-8.58,-14.703
5.25,-20.888,2.327,-10.69,-7.627,-13.753
5.375,-19.816,4.216,-9.777,-6.709,-12.846
5.5,-21.731,7.779,-9.115,-6.021,-12.209
5.625,-21.789,6.006,-8.381,-5.292,-11.471
5.75,-21.015,5.682,-7.468,-4.391,-10.545
5.875,-19.799,6.772,-6.549,-3.47,-9.628
6,-19.279,8.06,-5.717,-2.634,-8.8
6.125,-16.548,7.573,-5.141,-2.069,-8.212
6.25,-16.8,7.825,-5.125,-2.056,-8.195
6.375,-16.953,6.729,-5.634,-2.568,-8.701
6.5,-19.47,4.808,-6.118,-3.052,-9.183
6.625,-20.227,2.609,-6.053,-2.987,-9.119
6.75,-16.747,3.656,-5.609,-2.553,-8.665
