"","SampleId","PopId","SubPopId","MutType","variable","value"
"1","ENPAK19","ENP","AK","SYN","Homozygous Derived",7503.30608218076
"2","ENPAK20","ENP","AK","SYN","Homozygous Derived",7514.22158107053
"3","ENPAK21","ENP","AK","SYN","Homozygous Derived",7323.84851067126
"4","ENPAK22","ENP","AK","SYN","Homozygous Derived",7508.88931403598
"5","ENPAK23","ENP","AK","SYN","Homozygous Derived",7609.22073288057
"6","ENPAK24","ENP","AK","SYN","Homozygous Derived",7477.09240711081
"7","ENPAK25","ENP","AK","SYN","Homozygous Derived",7512.32513167326
"8","ENPAK26","ENP","AK","SYN","Homozygous Derived",7583.7196722792
"9","ENPAK27","ENP","AK","SYN","Homozygous Derived",7563.03106477689
"10","ENPAK28","ENP","AK","SYN","Homozygous Derived",7562.79926830159
"11","ENPAK29","ENP","AK","SYN","Homozygous Derived",7526.21646331043
"12","ENPAK30","ENP","AK","SYN","Homozygous Derived",7635.83889506276
"13","ENPBC16","ENP","BC","SYN","Homozygous Derived",7473.45282208884
"14","ENPBC17","ENP","BC","SYN","Homozygous Derived",7455.60236252849
"15","ENPBC18","ENP","BC","SYN","Homozygous Derived",7503.23218558122
"16","ENPCA02","ENP","CA","SYN","Homozygous Derived",7487.36058928916
"17","ENPCA03","ENP","CA","SYN","Homozygous Derived",7484.99490345218
"18","ENPCA04","ENP","CA","SYN","Homozygous Derived",7662.5039382971
"19","ENPCA05","ENP","CA","SYN","Homozygous Derived",7719.3104719938
"20","ENPCA06","ENP","CA","SYN","Homozygous Derived",7558.57751019658
"21","ENPCA07","ENP","CA","SYN","Homozygous Derived",7525.03780192319
"22","ENPCA08","ENP","CA","SYN","Homozygous Derived",7627.2310658336
"23","ENPOR10","ENP","OR","SYN","Homozygous Derived",7475.2034745562
"24","ENPOR11","ENP","OR","SYN","Homozygous Derived",7446.75740741314
"25","ENPOR13","ENP","OR","SYN","Homozygous Derived",7342.46549039396
"26","ENPWA14","ENP","WA","SYN","Homozygous Derived",7342.05650689723
"27","ENPWA15","ENP","WA","SYN","Homozygous Derived",7502.53039605985
"28","GOC002","GOC","GOC","SYN","Homozygous Derived",9903.67936003355
"29","GOC006","GOC","GOC","SYN","Homozygous Derived",9281.82667234768
"30","GOC025","GOC","GOC","SYN","Homozygous Derived",9569.32833087622
"31","GOC038","GOC","GOC","SYN","Homozygous Derived",9454.32577651418
"32","GOC050","GOC","GOC","SYN","Homozygous Derived",9406.46083495691
"33","GOC053","GOC","GOC","SYN","Homozygous Derived",9452.77296040453
"34","GOC063","GOC","GOC","SYN","Homozygous Derived",9303.15038438775
"35","GOC068","GOC","GOC","SYN","Homozygous Derived",9543.23262413119
"36","GOC071","GOC","GOC","SYN","Homozygous Derived",9494.68238965685
"37","GOC077","GOC","GOC","SYN","Homozygous Derived",9438.12693230174
"38","GOC082","GOC","GOC","SYN","Homozygous Derived",9461.60731311603
"39","GOC086","GOC","GOC","SYN","Homozygous Derived",9694.1806061642
"40","GOC091","GOC","GOC","SYN","Homozygous Derived",9600.92644174216
"41","GOC100","GOC","GOC","SYN","Homozygous Derived",9669.4294316346
"42","GOC112","GOC","GOC","SYN","Homozygous Derived",9625.04083148904
"43","GOC116","GOC","GOC","SYN","Homozygous Derived",9787.93255857993
"44","GOC125","GOC","GOC","SYN","Homozygous Derived",9263.48429456957
"45","ENPAK19","ENP","AK","DEL","Homozygous Derived",1496.51968317186
"46","ENPAK20","ENP","AK","DEL","Homozygous Derived",1479.18723196837
"47","ENPAK21","ENP","AK","DEL","Homozygous Derived",1515.0162471054
"48","ENPAK22","ENP","AK","DEL","Homozygous Derived",1491.33087631098
"49","ENPAK23","ENP","AK","DEL","Homozygous Derived",1552.46018506011
"50","ENPAK24","ENP","AK","DEL","Homozygous Derived",1471.85532922399
"51","ENPAK25","ENP","AK","DEL","Homozygous Derived",1482.8620685848
"52","ENPAK26","ENP","AK","DEL","Homozygous Derived",1437.89020757493
"53","ENPAK27","ENP","AK","DEL","Homozygous Derived",1568.19794154311
"54","ENPAK28","ENP","AK","DEL","Homozygous Derived",1445.11625774443
"55","ENPAK29","ENP","AK","DEL","Homozygous Derived",1497.98696626095
"56","ENPAK30","ENP","AK","DEL","Homozygous Derived",1459.93549499712
"57","ENPBC16","ENP","BC","DEL","Homozygous Derived",1507.84862735297
"58","ENPBC17","ENP","BC","DEL","Homozygous Derived",1465.15306730262
"59","ENPBC18","ENP","BC","DEL","Homozygous Derived",1452.85097496706
"60","ENPCA02","ENP","CA","DEL","Homozygous Derived",1476.48728415874
"61","ENPCA03","ENP","CA","DEL","Homozygous Derived",1526.29707322209
"62","ENPCA04","ENP","CA","DEL","Homozygous Derived",1472.61803617396
"63","ENPCA05","ENP","CA","DEL","Homozygous Derived",1510.30802926725
"64","ENPCA06","ENP","CA","DEL","Homozygous Derived",1488.19647557029
"65","ENPCA07","ENP","CA","DEL","Homozygous Derived",1500.81602228767
"66","ENPCA08","ENP","CA","DEL","Homozygous Derived",1541.62846693263
"67","ENPOR10","ENP","OR","DEL","Homozygous Derived",1449.46179961013
"68","ENPOR11","ENP","OR","DEL","Homozygous Derived",1511.48590328146
"69","ENPOR13","ENP","OR","DEL","Homozygous Derived",1449.90913035475
"70","ENPWA14","ENP","WA","DEL","Homozygous Derived",1420.18288248982
"71","ENPWA15","ENP","WA","DEL","Homozygous Derived",1516.85515491558
"72","GOC002","GOC","GOC","DEL","Homozygous Derived",2185.72628686345
"73","GOC006","GOC","GOC","DEL","Homozygous Derived",2029.18609809962
"74","GOC025","GOC","GOC","DEL","Homozygous Derived",2137.84657238024
"75","GOC038","GOC","GOC","DEL","Homozygous Derived",2065.63814646855
"76","GOC050","GOC","GOC","DEL","Homozygous Derived",2027.03664005358
"77","GOC053","GOC","GOC","DEL","Homozygous Derived",2080.4949868235
"78","GOC063","GOC","GOC","DEL","Homozygous Derived",2069.8093793013
"79","GOC068","GOC","GOC","DEL","Homozygous Derived",2088.36956791381
"80","GOC071","GOC","GOC","DEL","Homozygous Derived",2085.22503925761
"81","GOC077","GOC","GOC","DEL","Homozygous Derived",2054.87151578079
"82","GOC082","GOC","GOC","DEL","Homozygous Derived",2045.93607892083
"83","GOC086","GOC","GOC","DEL","Homozygous Derived",2132.59272890208
"84","GOC091","GOC","GOC","DEL","Homozygous Derived",2050.11922318828
"85","GOC100","GOC","GOC","DEL","Homozygous Derived",2078.41594168196
"86","GOC112","GOC","GOC","DEL","Homozygous Derived",2088.23796405454
"87","GOC116","GOC","GOC","DEL","Homozygous Derived",2140.76793674169
"88","GOC125","GOC","GOC","DEL","Homozygous Derived",1983.31743526197
"89","ENPAK19","ENP","AK","TOL","Homozygous Derived",4064.74632780428
"90","ENPAK20","ENP","AK","TOL","Homozygous Derived",4067.38362312948
"91","ENPAK21","ENP","AK","TOL","Homozygous Derived",3988.26211987116
"92","ENPAK22","ENP","AK","TOL","Homozygous Derived",4126.33985632896
"93","ENPAK23","ENP","AK","TOL","Homozygous Derived",3981.14167309635
"94","ENPAK24","ENP","AK","TOL","Homozygous Derived",3958.03393138653
"95","ENPAK25","ENP","AK","TOL","Homozygous Derived",4108.62178827563
"96","ENPAK26","ENP","AK","TOL","Homozygous Derived",4060.83960600057
"97","ENPAK27","ENP","AK","TOL","Homozygous Derived",3988.08581115836
"98","ENPAK28","ENP","AK","TOL","Homozygous Derived",3969.79203299338
"99","ENPAK29","ENP","AK","TOL","Homozygous Derived",3977.96118599223
"100","ENPAK30","ENP","AK","TOL","Homozygous Derived",4037.15155551578
"101","ENPBC16","ENP","BC","TOL","Homozygous Derived",3964.02171914294
"102","ENPBC17","ENP","BC","TOL","Homozygous Derived",4023.39298802676
"103","ENPBC18","ENP","BC","TOL","Homozygous Derived",3968.06494838153
"104","ENPCA02","ENP","CA","TOL","Homozygous Derived",4018.83933717579
"105","ENPCA03","ENP","CA","TOL","Homozygous Derived",4024.29786776907
"106","ENPCA04","ENP","CA","TOL","Homozygous Derived",3996.62792371548
"107","ENPCA05","ENP","CA","TOL","Homozygous Derived",4164.44274564086
"108","ENPCA06","ENP","CA","TOL","Homozygous Derived",3977.17987217888
"109","ENPCA07","ENP","CA","TOL","Homozygous Derived",4017.62567165418
"110","ENPCA08","ENP","CA","TOL","Homozygous Derived",4073.39333711163
"111","ENPOR10","ENP","OR","TOL","Homozygous Derived",3957.20780885781
"112","ENPOR11","ENP","OR","TOL","Homozygous Derived",4029.318570784
"113","ENPOR13","ENP","OR","TOL","Homozygous Derived",3964.16155657628
"114","ENPWA14","ENP","WA","TOL","Homozygous Derived",4066.66800658773
"115","ENPWA15","ENP","WA","TOL","Homozygous Derived",4012.0966804435
"116","GOC002","GOC","GOC","TOL","Homozygous Derived",5321.36849553781
"117","GOC006","GOC","GOC","TOL","Homozygous Derived",5032.28850173675
"118","GOC025","GOC","GOC","TOL","Homozygous Derived",5185.90477047705
"119","GOC038","GOC","GOC","TOL","Homozygous Derived",5109.42109569392
"120","GOC050","GOC","GOC","TOL","Homozygous Derived",5068.62359260673
"121","GOC053","GOC","GOC","TOL","Homozygous Derived",5197.54131705095
"122","GOC063","GOC","GOC","TOL","Homozygous Derived",5016.20516813721
"123","GOC068","GOC","GOC","TOL","Homozygous Derived",5098.84226426721
"124","GOC071","GOC","GOC","TOL","Homozygous Derived",5148.53792055636
"125","GOC077","GOC","GOC","TOL","Homozygous Derived",5093.1580902722
"126","GOC082","GOC","GOC","TOL","Homozygous Derived",5065.13072793206
"127","GOC086","GOC","GOC","TOL","Homozygous Derived",5243.23139078698
"128","GOC091","GOC","GOC","TOL","Homozygous Derived",5087.6522866926
"129","GOC100","GOC","GOC","TOL","Homozygous Derived",5124.7151982304
"130","GOC112","GOC","GOC","TOL","Homozygous Derived",5231.63338094073
"131","GOC116","GOC","GOC","TOL","Homozygous Derived",5362.73734312913
"132","GOC125","GOC","GOC","TOL","Homozygous Derived",4890.23137512307
"133","ENPAK19","ENP","AK","LOF","Homozygous Derived",96.9174677991413
"134","ENPAK20","ENP","AK","LOF","Homozygous Derived",110.972173062593
"135","ENPAK21","ENP","AK","LOF","Homozygous Derived",110.516204748578
"136","ENPAK22","ENP","AK","LOF","Homozygous Derived",115.308572608018
"137","ENPAK23","ENP","AK","LOF","Homozygous Derived",107.258516941307
"138","ENPAK24","ENP","AK","LOF","Homozygous Derived",115.399257217603
"139","ENPAK25","ENP","AK","LOF","Homozygous Derived",113.163972391245
"140","ENPAK26","ENP","AK","LOF","Homozygous Derived",108.491349721707
"141","ENPAK27","ENP","AK","LOF","Homozygous Derived",114.452879581152
"142","ENPAK28","ENP","AK","LOF","Homozygous Derived",106.582427628238
"143","ENPAK29","ENP","AK","LOF","Homozygous Derived",104.334204545455
"144","ENPAK30","ENP","AK","LOF","Homozygous Derived",107.33971661055
"145","ENPBC16","ENP","BC","LOF","Homozygous Derived",96.7978040845834
"146","ENPBC17","ENP","BC","LOF","Homozygous Derived",108.113254203759
"147","ENPBC18","ENP","BC","LOF","Homozygous Derived",116.026061513337
"148","ENPCA02","ENP","CA","LOF","Homozygous Derived",102.48051291479
"149","ENPCA03","ENP","CA","LOF","Homozygous Derived",106.67513103199
"150","ENPCA04","ENP","CA","LOF","Homozygous Derived",113.993377941855
"151","ENPCA05","ENP","CA","LOF","Homozygous Derived",125.970980084824
"152","ENPCA06","ENP","CA","LOF","Homozygous Derived",105.792559927635
"153","ENPCA07","ENP","CA","LOF","Homozygous Derived",111.178639542276
"154","ENPCA08","ENP","CA","LOF","Homozygous Derived",105.483979926655
"155","ENPOR10","ENP","OR","LOF","Homozygous Derived",111.613794505693
"156","ENPOR11","ENP","OR","LOF","Homozygous Derived",105.060793208768
"157","ENPOR13","ENP","OR","LOF","Homozygous Derived",99.6619346393428
"158","ENPWA14","ENP","WA","LOF","Homozygous Derived",100.259308872945
"159","ENPWA15","ENP","WA","LOF","Homozygous Derived",106.393753348812
"160","GOC002","GOC","GOC","LOF","Homozygous Derived",137.871429858546
"161","GOC006","GOC","GOC","LOF","Homozygous Derived",136.886633930985
"162","GOC025","GOC","GOC","LOF","Homozygous Derived",138.307928744503
"163","GOC038","GOC","GOC","LOF","Homozygous Derived",142.658932294027
"164","GOC050","GOC","GOC","LOF","Homozygous Derived",138.581534933909
"165","GOC053","GOC","GOC","LOF","Homozygous Derived",140.13141025641
"166","GOC063","GOC","GOC","LOF","Homozygous Derived",137.59868716842
"167","GOC068","GOC","GOC","LOF","Homozygous Derived",138.091595715463
"168","GOC071","GOC","GOC","LOF","Homozygous Derived",146.244180718475
"169","GOC077","GOC","GOC","LOF","Homozygous Derived",140.258042653172
"170","GOC082","GOC","GOC","LOF","Homozygous Derived",135.773256348914
"171","GOC086","GOC","GOC","LOF","Homozygous Derived",138.118613636364
"172","GOC091","GOC","GOC","LOF","Homozygous Derived",143.353979518505
"173","GOC100","GOC","GOC","LOF","Homozygous Derived",141.093586926669
"174","GOC112","GOC","GOC","LOF","Homozygous Derived",136.145519613311
"175","GOC116","GOC","GOC","LOF","Homozygous Derived",142.09325
"176","GOC125","GOC","GOC","LOF","Homozygous Derived",143.221240737394
"177","ENPAK19","ENP","AK","SYN","Heterozygous",10643.4075435003
