"","rep","model","pop","popSize","meanFitness","meanHet","FROH_500kb","FROH_1Mb","avgvStrDel","avgStrDel","avgModDel","avgWkDel","popmodel","geneticLoad"
"1",1,"w/ Mig","ENP",17386,0.969962,0.00147715,0,0,1.45,26.225,28.7,313.35,"ENP",0.030038
"2",2,"w/ Mig","ENP",17386,0.971155,0.00146923,0.00225283,0,0.95,26.525,32.225,288.675,"ENP",0.028845
"3",3,"w/ Mig","ENP",17386,0.972064,0.00144988,0,0,1.425,24.625,30.95,287.875,"ENP",0.027936
"4",4,"w/ Mig","ENP",17386,0.969319,0.00144886,0,0,0.95,24.875,34.825,320,"ENP",0.030681
"5",5,"w/ Mig","ENP",17386,0.969514,0.0014679,0,0,1.175,25.4,34.625,321.55,"ENP",0.030486
"6",6,"w/ Mig","ENP",17386,0.970567,0.00146924,0,0,1.35,24.8,26.575,288.475,"ENP",0.029433
"7",7,"w/ Mig","ENP",17386,0.971228,0.00147443,0.00147691,0,1.05,25.7,30.2,281.6,"ENP",0.028772
"8",8,"w/ Mig","ENP",17386,0.970532,0.00146285,0.00129229,0,0.95,23.75,31.475,289.525,"ENP",0.029468
"9",9,"w/ Mig","ENP",17386,0.973809,0.00144205,0,0,0.925,23.6,29.225,307.4,"ENP",0.026191
"10",10,"w/ Mig","ENP",17386,0.971806,0.00145952,0,0,1.375,25.975,29.95,251.175,"ENP",0.0281940000000001
"11",11,"w/ Mig","ENP",17386,0.97259,0.00148785,0,0,1.075,25.2,29.675,270.625,"ENP",0.02741
"12",12,"w/ Mig","ENP",17386,0.971729,0.00145855,0,0,1,24.925,27.825,298.25,"ENP",0.028271
"13",13,"w/ Mig","ENP",17386,0.972755,0.00143211,0,0,1,23.025,27.625,260.05,"ENP",0.027245
"14",14,"w/ Mig","ENP",17386,0.971276,0.00143857,0.0015083,0,1.15,23.4,28.45,293.175,"ENP",0.028724
"15",15,"w/ Mig","ENP",17386,0.971027,0.00141405,0,0,1.5,25.85,30.8,268.05,"ENP",0.028973
"16",16,"w/ Mig","ENP",17386,0.97215,0.00147152,0.00616211,0.00302021,0.75,26.875,27.45,292.7,"ENP",0.02785
"17",17,"w/ Mig","ENP",17386,0.973294,0.00147133,0,0,1,26.4,27.125,271.075,"ENP",0.026706
"18",18,"w/ Mig","ENP",17386,0.971811,0.00148082,0.00198553,0,0.675,24.95,31.95,305.55,"ENP",0.028189
"19",19,"w/ Mig","ENP",17386,0.970088,0.00146086,0.00434479,0,1.6,28.075,29.775,305.25,"ENP",0.029912
"20",20,"w/ Mig","ENP",17386,0.970899,0.00148772,0,0,0.9,26.85,33.7,294.775,"ENP",0.029101
