"","ID1","ID2","kinship_B_separate_ENP","kinship_C_middle_ENP","kinship_A_all_ENP","PopId","SubPopId","SubPopId2"
"1","ENPAK19","ENPAK20",0,0,0,"ENP","AK","AK"
"2","ENPAK19","ENPAK21",0,0,0,"ENP","AK","AK"
"3","ENPAK19","ENPAK22",0,0,0,"ENP","AK","AK"
"4","ENPAK19","ENPAK23",0,0,0,"ENP","AK","AK"
"5","ENPAK19","ENPAK24",0,0,0,"ENP","AK","AK"
"6","ENPAK19","ENPAK25",0,0,0,"ENP","AK","AK"
"7","ENPAK19","ENPAK26",0,0,0,"ENP","AK","AK"
"8","ENPAK19","ENPAK27",0,0,0,"ENP","AK","AK"
"9","ENPAK19","ENPAK28",0,0,0,"ENP","AK","AK"
"10","ENPAK19","ENPAK29",0,0,0,"ENP","AK","AK"
"11","ENPAK19","ENPAK30",0,0,0,"ENP","AK","AK"
"12","ENPAK20","ENPAK21",0,0,0,"ENP","AK","AK"
"13","ENPAK20","ENPAK22",0,0,0,"ENP","AK","AK"
"14","ENPAK20","ENPAK23",0,0,0,"ENP","AK","AK"
"15","ENPAK20","ENPAK24",0,0,0,"ENP","AK","AK"
"16","ENPAK20","ENPAK25",0,0,0,"ENP","AK","AK"
"17","ENPAK20","ENPAK26",0,0,0,"ENP","AK","AK"
"18","ENPAK20","ENPAK27",0,0,0,"ENP","AK","AK"
"19","ENPAK20","ENPAK28",0,0,0,"ENP","AK","AK"
"20","ENPAK20","ENPAK29",0,0,0,"ENP","AK","AK"
"21","ENPAK20","ENPAK30",0,0,0,"ENP","AK","AK"
"22","ENPAK21","ENPAK22",0,0,0,"ENP","AK","AK"
"23","ENPAK21","ENPAK23",0,0,0,"ENP","AK","AK"
"24","ENPAK21","ENPAK24",0,0,0,"ENP","AK","AK"
"25","ENPAK21","ENPAK25",0,0,0,"ENP","AK","AK"
"26","ENPAK21","ENPAK26",0,0,0,"ENP","AK","AK"
"27","ENPAK21","ENPAK27",0,0,0,"ENP","AK","AK"
"28","ENPAK21","ENPAK28",0,0,0,"ENP","AK","AK"
"29","ENPAK21","ENPAK29",0,0,0,"ENP","AK","AK"
"30","ENPAK21","ENPAK30",0,0,0,"ENP","AK","AK"
"31","ENPAK22","ENPAK23",0,0,0,"ENP","AK","AK"
"32","ENPAK22","ENPAK24",0,0,0,"ENP","AK","AK"
"33","ENPAK22","ENPAK25",0,0,0,"ENP","AK","AK"
"34","ENPAK22","ENPAK26",0,0,0,"ENP","AK","AK"
"35","ENPAK22","ENPAK27",0,0,0,"ENP","AK","AK"
"36","ENPAK22","ENPAK28",0,0,0,"ENP","AK","AK"
"37","ENPAK22","ENPAK29",0,0,0,"ENP","AK","AK"
"38","ENPAK22","ENPAK30",0,0,0,"ENP","AK","AK"
"39","ENPAK23","ENPAK24",0,0,0,"ENP","AK","AK"
"40","ENPAK23","ENPAK25",0,0,0,"ENP","AK","AK"
"41","ENPAK23","ENPAK26",0,0,0,"ENP","AK","AK"
"42","ENPAK23","ENPAK27",0,0,0,"ENP","AK","AK"
"43","ENPAK23","ENPAK28",0,0,0,"ENP","AK","AK"
"44","ENPAK23","ENPAK29",0,0,0,"ENP","AK","AK"
"45","ENPAK23","ENPAK30",0,0,0,"ENP","AK","AK"
"46","ENPAK24","ENPAK25",0,0,0,"ENP","AK","AK"
"47","ENPAK24","ENPAK26",0.0116892342005773,0.0116892342005773,0.00844531340082583,"ENP","AK","AK"
"48","ENPAK24","ENPAK27",0,0,0,"ENP","AK","AK"
"49","ENPAK24","ENPAK28",0,0,0,"ENP","AK","AK"
"50","ENPAK24","ENPAK29",0,0,0,"ENP","AK","AK"
"51","ENPAK24","ENPAK30",0,0,0,"ENP","AK","AK"
"52","ENPAK25","ENPAK26",0,0,0,"ENP","AK","AK"
"53","ENPAK25","ENPAK27",0,0,0,"ENP","AK","AK"
"54","ENPAK25","ENPAK28",0,0,0,"ENP","AK","AK"
"55","ENPAK25","ENPAK29",0,0,0,"ENP","AK","AK"
"56","ENPAK25","ENPAK30",0,0,0,"ENP","AK","AK"
"57","ENPAK26","ENPAK27",0,0,0,"ENP","AK","AK"
"58","ENPAK26","ENPAK28",0,0,0,"ENP","AK","AK"
"59","ENPAK26","ENPAK29",0,0,0,"ENP","AK","AK"
"60","ENPAK26","ENPAK30",0,0,0,"ENP","AK","AK"
"61","ENPAK27","ENPAK28",0,0,0,"ENP","AK","AK"
"62","ENPAK27","ENPAK29",0,0,0,"ENP","AK","AK"
"63","ENPAK27","ENPAK30",0,0,0,"ENP","AK","AK"
"64","ENPAK28","ENPAK29",0,0,0,"ENP","AK","AK"
"65","ENPAK28","ENPAK30",0,0,0,"ENP","AK","AK"
"66","ENPAK29","ENPAK30",0,0,0,"ENP","AK","AK"
"67","ENPBC16","ENPBC17",0,0,0,"ENP","BC","MENP"
"68","ENPBC16","ENPBC18",0,0.00629419250218566,0,"ENP","BC","MENP"
"69","ENPBC17","ENPBC18",0,0,0,"ENP","BC","MENP"
"70","ENPCA01","ENPCA02",0.00370608353481992,0.00370608353481992,0.00683225494804991,"ENP","CA","CA"
"71","ENPCA01","ENPCA03",0,0,0.00835966382446609,"ENP","CA","CA"
"72","ENPCA01","ENPCA04",0.0198166977525371,0.0198166977525371,0.0312156094023907,"ENP","CA","CA"
"73","ENPCA01","ENPCA05",0.0228554051918754,0.0228554051918754,0.0381429578746134,"ENP","CA","CA"
"74","ENPCA01","ENPCA06",0,0,0,"ENP","CA","CA"
"75","ENPCA01","ENPCA07",0,0,0.00653852620715439,"ENP","CA","CA"
"76","ENPCA01","ENPCA08",0,0,0,"ENP","CA","CA"
"77","ENPCA01","ENPCA09",0.0649574004720677,0.0649574004720677,0.0686432390504332,"ENP","CA","CA"
"78","ENPCA02","ENPCA03",0.0641258499228893,0.0641258499228893,0.0650952301657959,"ENP","CA","CA"
"79","ENPCA02","ENPCA04",0,0,0,"ENP","CA","CA"
"80","ENPCA02","ENPCA05",0,0,0,"ENP","CA","CA"
"81","ENPCA02","ENPCA06",0,0,0.00704061798336723,"ENP","CA","CA"
"82","ENPCA02","ENPCA07",0,0,0,"ENP","CA","CA"
"83","ENPCA02","ENPCA08",0,0,0,"ENP","CA","CA"
"84","ENPCA02","ENPCA09",0.0575868942593028,0.0575868942593028,0.0577089421728865,"ENP","CA","CA"
"85","ENPCA03","ENPCA04",0,0,0,"ENP","CA","CA"
"86","ENPCA03","ENPCA05",0,0,0.0174696143963168,"ENP","CA","CA"
"87","ENPCA03","ENPCA06",0,0,0,"ENP","CA","CA"
"88","ENPCA03","ENPCA07",0,0,0,"ENP","CA","CA"
"89","ENPCA03","ENPCA08",0,0,0,"ENP","CA","CA"
"90","ENPCA03","ENPCA09",0.0300473333225278,0.0300473333225278,0.0330832655941604,"ENP","CA","CA"
"91","ENPCA04","ENPCA05",0,0,0,"ENP","CA","CA"
"92","ENPCA04","ENPCA06",0,0,0,"ENP","CA","CA"
"93","ENPCA04","ENPCA07",0,0,0,"ENP","CA","CA"
"94","ENPCA04","ENPCA08",0,0,0,"ENP","CA","CA"
"95","ENPCA04","ENPCA09",0.0293806301983882,0.0293806301983882,0.0374956079225521,"ENP","CA","CA"
"96","ENPCA05","ENPCA06",0,0,0,"ENP","CA","CA"
"97","ENPCA05","ENPCA07",0,0,0,"ENP","CA","CA"
"98","ENPCA05","ENPCA08",0,0,0,"ENP","CA","CA"
"99","ENPCA05","ENPCA09",0.029322124300048,0.029322124300048,0.0385671502827522,"ENP","CA","CA"
"100","ENPCA06","ENPCA07",0,0,0,"ENP","CA","CA"
"101","ENPCA06","ENPCA08",0,0,0,"ENP","CA","CA"
"102","ENPCA06","ENPCA09",0.0174761145151364,0.0174761145151364,0.0334606651661549,"ENP","CA","CA"
"103","ENPCA07","ENPCA08",0,0,0,"ENP","CA","CA"
"104","ENPCA07","ENPCA09",0.0357770769420443,0.0357770769420443,0.0437899099504711,"ENP","CA","CA"
"105","ENPCA08","ENPCA09",0.0140093902018015,0.0140093902018015,0.0262492599735645,"ENP","CA","CA"
"106","ENPOR10","ENPOR11",0.00860094527845995,0.0102122068049784,0,"ENP","OR","MENP"
"107","ENPOR10","ENPOR12",0,0,0,"ENP","OR","MENP"
"108","ENPOR10","ENPOR13",0.0153776991251207,0.0170095979188669,0.0250052367531773,"ENP","OR","MENP"
"109","ENPOR11","ENPOR12",0,0,0,"ENP","OR","MENP"
