Model,nuB,nuF,TB,TF,LL,LL_data
Infered 3-epoch model,1.451137051,0.018484445,0.134175074,6.07E-05,-187.431054,-147.8387574
MS1,1.447716825,1.79E-05,0.169520623,5.84E-08,-236.8256162,-160.2612255
MS2,1.436070625,0.005206864,0.16944545,1.54E-05,-223.1395848,-160.2562084
MS3,1.669336108,0.000158997,0.997655582,1.00E-07,-188905.1808,-146.5480997
MS4,1.478097788,1.06E-06,0.149618281,3.98E-09,-245.5041822,-160.2723151
MS5,1.442348919,0.00434244,0.175443855,1.33E-05,-299.5369184,-160.2190727
MS6,1.44447278,6.10E-05,0.16672545,1.77E-07,-248.8552056,-160.2362191
MS7,1.425139606,1.46E-06,0.171251692,4.31E-09,-262.5555096,-160.318305
MS8,1.464760679,3.55E-06,0.155976315,1.24E-08,-226.7224737,-160.2619848
MS9,1.493642803,1.11E-06,0.151123795,4.55E-09,-247.7015663,-160.2573578
MS10,1.454447732,5.86E-05,0.163893197,1.97E-07,-224.7764874,-160.2533879
MS11,1.442727979,3.36E-06,0.166697022,1.08E-08,-237.4677736,-160.2649199
MS12,1.438905563,0.001398438,0.15985535,3.89E-06,-235.3491957,-160.2719116
MS13,1.464709384,2.46E-06,0.150897676,7.84E-09,-215.6704894,-160.273579
MS14,1.521474477,0.517858323,0.139045002,0.003708872,-208.0834795,-160.2788823
MS15,1.46152367,0.001862297,0.16043348,6.77E-06,-229.9914374,-160.2770958
MS16,1.487721626,2.24E-06,0.150850103,8.98E-09,-241.2969017,-160.2813154
MS17,1.468352357,2.26E-06,0.148956069,7.72E-09,-186.9124282,-160.2870907
MS18,1.467666844,0.002674418,0.157527968,1.08E-05,-248.6322551,-160.283732
MS19,1.454861716,1.15E-06,0.159879757,3.80E-09,-229.4318629,-160.2776416
MS20,1.442000302,7.83E-05,0.160675922,2.37E-07,-206.5857999,-160.2712233
