"","SampleId","PopId","SubPopId","MutType","variable","value"
"1","ENPAK19","ENP","AK","HIGH","Derived Alleles",517.36477955228
"2","ENPAK20","ENP","AK","HIGH","Derived Alleles",543.610048737562
"3","ENPAK21","ENP","AK","HIGH","Derived Alleles",552.155806621124
"4","ENPAK22","ENP","AK","HIGH","Derived Alleles",535.670703748006
"5","ENPAK23","ENP","AK","HIGH","Derived Alleles",530.064896556372
"6","ENPAK24","ENP","AK","HIGH","Derived Alleles",530.45507518797
"7","ENPAK25","ENP","AK","HIGH","Derived Alleles",538.87297611148
"8","ENPAK26","ENP","AK","HIGH","Derived Alleles",550.491807415382
"9","ENPAK27","ENP","AK","HIGH","Derived Alleles",554.729388892712
"10","ENPAK28","ENP","AK","HIGH","Derived Alleles",561.045082272355
"11","ENPAK29","ENP","AK","HIGH","Derived Alleles",523.781053433093
"12","ENPAK30","ENP","AK","HIGH","Derived Alleles",535.082876758658
"13","ENPBC16","ENP","BC","HIGH","Derived Alleles",539.33790396742
"14","ENPBC17","ENP","BC","HIGH","Derived Alleles",553.168254334498
"15","ENPBC18","ENP","BC","HIGH","Derived Alleles",541.686254782953
"16","ENPCA02","ENP","CA","HIGH","Derived Alleles",546.245634497467
"17","ENPCA03","ENP","CA","HIGH","Derived Alleles",521.357452966715
"18","ENPCA04","ENP","CA","HIGH","Derived Alleles",551.093968531468
"19","ENPCA05","ENP","CA","HIGH","Derived Alleles",540.581366333963
"20","ENPCA06","ENP","CA","HIGH","Derived Alleles",542.687997107737
"21","ENPCA07","ENP","CA","HIGH","Derived Alleles",524.774945375091
"22","ENPCA08","ENP","CA","HIGH","Derived Alleles",536.361653211653
"23","ENPOR10","ENP","OR","HIGH","Derived Alleles",511.113422730559
"24","ENPOR11","ENP","OR","HIGH","Derived Alleles",514.316475221529
"25","ENPOR13","ENP","OR","HIGH","Derived Alleles",515.301755825402
"26","ENPWA14","ENP","WA","HIGH","Derived Alleles",525.157434402332
"27","ENPWA15","ENP","WA","HIGH","Derived Alleles",535.085060280222
"28","GOC002","GOC","GOC","HIGH","Derived Alleles",527.887415368435
"29","GOC006","GOC","GOC","HIGH","Derived Alleles",547.030357847652
"30","GOC025","GOC","GOC","HIGH","Derived Alleles",541.326215720924
"31","GOC038","GOC","GOC","HIGH","Derived Alleles",535.956949934124
"32","GOC050","GOC","GOC","HIGH","Derived Alleles",544.665673303642
"33","GOC053","GOC","GOC","HIGH","Derived Alleles",536.413999607304
"34","GOC063","GOC","GOC","HIGH","Derived Alleles",539.155207445763
"35","GOC068","GOC","GOC","HIGH","Derived Alleles",540.055579570393
"36","GOC071","GOC","GOC","HIGH","Derived Alleles",549.455013025182
"37","GOC077","GOC","GOC","HIGH","Derived Alleles",550.183821597478
"38","GOC082","GOC","GOC","HIGH","Derived Alleles",547.251237540973
"39","GOC086","GOC","GOC","HIGH","Derived Alleles",534.928545454545
"40","GOC091","GOC","GOC","HIGH","Derived Alleles",554.497183652083
"41","GOC100","GOC","GOC","HIGH","Derived Alleles",559.481564357758
"42","GOC112","GOC","GOC","HIGH","Derived Alleles",535.16236403921
"43","GOC116","GOC","GOC","HIGH","Derived Alleles",532.943652892562
"44","GOC125","GOC","GOC","HIGH","Derived Alleles",555.953703703704
"45","ENPAK19","ENP","AK","MODERATE","Derived Alleles",19587.5152837767
"46","ENPAK20","ENP","AK","MODERATE","Derived Alleles",19356.3351564462
"47","ENPAK21","ENP","AK","MODERATE","Derived Alleles",19444.1769299206
"48","ENPAK22","ENP","AK","MODERATE","Derived Alleles",19499.1627324239
"49","ENPAK23","ENP","AK","MODERATE","Derived Alleles",19412.1841284982
"50","ENPAK24","ENP","AK","MODERATE","Derived Alleles",19342.7810797611
"51","ENPAK25","ENP","AK","MODERATE","Derived Alleles",19502.2647067615
"52","ENPAK26","ENP","AK","MODERATE","Derived Alleles",19466.6995008634
"53","ENPAK27","ENP","AK","MODERATE","Derived Alleles",19584.368918601
"54","ENPAK28","ENP","AK","MODERATE","Derived Alleles",19004.011393074
"55","ENPAK29","ENP","AK","MODERATE","Derived Alleles",19381.8159157582
"56","ENPAK30","ENP","AK","MODERATE","Derived Alleles",19328.6125507955
"57","ENPBC16","ENP","BC","MODERATE","Derived Alleles",19475.2922304209
"58","ENPBC17","ENP","BC","MODERATE","Derived Alleles",19509.6020123842
"59","ENPBC18","ENP","BC","MODERATE","Derived Alleles",19372.0458532189
"60","ENPCA02","ENP","CA","MODERATE","Derived Alleles",19362.5537276653
"61","ENPCA03","ENP","CA","MODERATE","Derived Alleles",19532.7816888396
"62","ENPCA04","ENP","CA","MODERATE","Derived Alleles",19404.483190465
"63","ENPCA05","ENP","CA","MODERATE","Derived Alleles",19366.617052421
"64","ENPCA06","ENP","CA","MODERATE","Derived Alleles",19253.2061584481
"65","ENPCA07","ENP","CA","MODERATE","Derived Alleles",19473.9074773339
"66","ENPCA08","ENP","CA","MODERATE","Derived Alleles",19478.608828224
"67","ENPOR10","ENP","OR","MODERATE","Derived Alleles",19384.3375845076
"68","ENPOR11","ENP","OR","MODERATE","Derived Alleles",19485.0237297216
"69","ENPOR13","ENP","OR","MODERATE","Derived Alleles",19265.116725167
"70","ENPWA14","ENP","WA","MODERATE","Derived Alleles",19554.7153495713
"71","ENPWA15","ENP","WA","MODERATE","Derived Alleles",19534.6372538251
"72","GOC002","GOC","GOC","MODERATE","Derived Alleles",19525.8540763226
"73","GOC006","GOC","GOC","MODERATE","Derived Alleles",19591.1987606231
"74","GOC025","GOC","GOC","MODERATE","Derived Alleles",19472.3128058266
"75","GOC038","GOC","GOC","MODERATE","Derived Alleles",19483.2757172583
"76","GOC050","GOC","GOC","MODERATE","Derived Alleles",19330.0252022596
"77","GOC053","GOC","GOC","MODERATE","Derived Alleles",19583.5524798533
"78","GOC063","GOC","GOC","MODERATE","Derived Alleles",19621.6301749623
"79","GOC068","GOC","GOC","MODERATE","Derived Alleles",19561.6036227119
"80","GOC071","GOC","GOC","MODERATE","Derived Alleles",19586.8952594155
"81","GOC077","GOC","GOC","MODERATE","Derived Alleles",19594.4335009194
"82","GOC082","GOC","GOC","MODERATE","Derived Alleles",19425.9675885991
"83","GOC086","GOC","GOC","MODERATE","Derived Alleles",19547.5942733649
"84","GOC091","GOC","GOC","MODERATE","Derived Alleles",19488.1123023733
"85","GOC100","GOC","GOC","MODERATE","Derived Alleles",19671.7205710742
"86","GOC112","GOC","GOC","MODERATE","Derived Alleles",19513.5334016709
"87","GOC116","GOC","GOC","MODERATE","Derived Alleles",19531.6016657122
"88","GOC125","GOC","GOC","MODERATE","Derived Alleles",19435.7076125679
"89","ENPAK19","ENP","AK","LOW","Derived Alleles",25594.452299896
