"","SampleId","PopId","SubPopId","MutType","variable","value"
"1","ENPAK19","ENP","AK","HIGH","Homozygous Derived",140.354405541906
"2","ENPAK20","ENP","AK","HIGH","Homozygous Derived",162.574967846747
"3","ENPAK21","ENP","AK","HIGH","Homozygous Derived",158.744794403573
"4","ENPAK22","ENP","AK","HIGH","Homozygous Derived",154.616311137693
"5","ENPAK23","ENP","AK","HIGH","Homozygous Derived",153.759282970551
"6","ENPAK24","ENP","AK","HIGH","Homozygous Derived",160.05994531784
"7","ENPAK25","ENP","AK","HIGH","Homozygous Derived",161.363072329131
"8","ENPAK26","ENP","AK","HIGH","Homozygous Derived",157.57196689321
"9","ENPAK27","ENP","AK","HIGH","Homozygous Derived",161.150436996766
"10","ENPAK28","ENP","AK","HIGH","Homozygous Derived",154.231516640608
"11","ENPAK29","ENP","AK","HIGH","Homozygous Derived",146.102115473747
"12","ENPAK30","ENP","AK","HIGH","Homozygous Derived",156.361979166667
"13","ENPBC16","ENP","BC","HIGH","Homozygous Derived",145.926891749869
"14","ENPBC17","ENP","BC","HIGH","Homozygous Derived",160.309941327708
"15","ENPBC18","ENP","BC","HIGH","Homozygous Derived",168.348561815543
"16","ENPCA02","ENP","CA","HIGH","Homozygous Derived",152.068381764863
"17","ENPCA03","ENP","CA","HIGH","Homozygous Derived",149.100332193132
"18","ENPCA04","ENP","CA","HIGH","Homozygous Derived",163.51139725659
"19","ENPCA05","ENP","CA","HIGH","Homozygous Derived",170.070542217426
"20","ENPCA06","ENP","CA","HIGH","Homozygous Derived",157.872871885887
"21","ENPCA07","ENP","CA","HIGH","Homozygous Derived",158.028818777726
"22","ENPCA08","ENP","CA","HIGH","Homozygous Derived",158.063355563356
"23","ENPOR10","ENP","OR","HIGH","Homozygous Derived",155.899460987313
"24","ENPOR11","ENP","OR","HIGH","Homozygous Derived",151.73321299639
"25","ENPOR13","ENP","OR","HIGH","Homozygous Derived",141.880406957663
"26","ENPWA14","ENP","WA","HIGH","Homozygous Derived",149.192452955208
"27","ENPWA15","ENP","WA","HIGH","Homozygous Derived",149.667302052786
"28","GOC002","GOC","GOC","HIGH","Homozygous Derived",201.287911654506
"29","GOC006","GOC","GOC","HIGH","Homozygous Derived",204.395819628996
"30","GOC025","GOC","GOC","HIGH","Homozygous Derived",203.365747103868
"31","GOC038","GOC","GOC","HIGH","Homozygous Derived",207.658596837945
"32","GOC050","GOC","GOC","HIGH","Homozygous Derived",198.596509038512
"33","GOC053","GOC","GOC","HIGH","Homozygous Derived",210.242849662936
"34","GOC063","GOC","GOC","HIGH","Homozygous Derived",196.771973520351
"35","GOC068","GOC","GOC","HIGH","Homozygous Derived",198.652606902973
"36","GOC071","GOC","GOC","HIGH","Homozygous Derived",215.570853650391
"37","GOC077","GOC","GOC","HIGH","Homozygous Derived",204.100449947451
"38","GOC082","GOC","GOC","HIGH","Homozygous Derived",200.826142216871
"39","GOC086","GOC","GOC","HIGH","Homozygous Derived",200.474148760331
"40","GOC091","GOC","GOC","HIGH","Homozygous Derived",208.428019386953
"41","GOC100","GOC","GOC","HIGH","Homozygous Derived",206.546957451072
"42","GOC112","GOC","GOC","HIGH","Homozygous Derived",199.552067946824
"43","GOC116","GOC","GOC","HIGH","Homozygous Derived",208.413719008264
"44","GOC125","GOC","GOC","HIGH","Homozygous Derived",201.173978345547
"45","ENPAK19","ENP","AK","MODERATE","Homozygous Derived",5494.94396761161
"46","ENPAK20","ENP","AK","MODERATE","Homozygous Derived",5479.39749740444
"47","ENPAK21","ENP","AK","MODERATE","Homozygous Derived",5437.3919175015
"48","ENPAK22","ENP","AK","MODERATE","Homozygous Derived",5544.29944999252
"49","ENPAK23","ENP","AK","MODERATE","Homozygous Derived",5456.69906860084
"50","ENPAK24","ENP","AK","MODERATE","Homozygous Derived",5363.32801661276
"51","ENPAK25","ENP","AK","MODERATE","Homozygous Derived",5506.81452526212
"52","ENPAK26","ENP","AK","MODERATE","Homozygous Derived",5427.22102929597
"53","ENPAK27","ENP","AK","MODERATE","Homozygous Derived",5480.70025707117
"54","ENPAK28","ENP","AK","MODERATE","Homozygous Derived",5344.77400954986
"55","ENPAK29","ENP","AK","MODERATE","Homozygous Derived",5409.87167938565
"56","ENPAK30","ENP","AK","MODERATE","Homozygous Derived",5423.43987203137
"57","ENPBC16","ENP","BC","MODERATE","Homozygous Derived",5412.49552516599
"58","ENPBC17","ENP","BC","MODERATE","Homozygous Derived",5433.74291891499
"59","ENPBC18","ENP","BC","MODERATE","Homozygous Derived",5355.78345183481
"60","ENPCA02","ENP","CA","MODERATE","Homozygous Derived",5429.16513995974
"61","ENPCA03","ENP","CA","MODERATE","Homozygous Derived",5479.93703146447
"62","ENPCA04","ENP","CA","MODERATE","Homozygous Derived",5388.21098981745
"63","ENPCA05","ENP","CA","MODERATE","Homozygous Derived",5605.04044880446
"64","ENPCA06","ENP","CA","MODERATE","Homozygous Derived",5405.1535082301
"65","ENPCA07","ENP","CA","MODERATE","Homozygous Derived",5450.87086108043
"66","ENPCA08","ENP","CA","MODERATE","Homozygous Derived",5541.56875979701
"67","ENPOR10","ENP","OR","MODERATE","Homozygous Derived",5329.45595866043
"68","ENPOR11","ENP","OR","MODERATE","Homozygous Derived",5471.58415196546
"69","ENPOR13","ENP","OR","MODERATE","Homozygous Derived",5349.88275831341
"70","ENPWA14","ENP","WA","MODERATE","Homozygous Derived",5412.32390798347
"71","ENPWA15","ENP","WA","MODERATE","Homozygous Derived",5458.22191766
"72","GOC002","GOC","GOC","MODERATE","Homozygous Derived",7403.54069752162
"73","GOC006","GOC","GOC","MODERATE","Homozygous Derived",6955.60731285194
"74","GOC025","GOC","GOC","MODERATE","Homozygous Derived",7233.21897555354
"75","GOC038","GOC","GOC","MODERATE","Homozygous Derived",7081.23117439437
"76","GOC050","GOC","GOC","MODERATE","Homozygous Derived",7002.38913473339
