"","SampleId","PopId","SubPopId","K","run","variable","value"
"1","ENPAK19","ENP","AK","K = 1",1,"Cluster1",1
"2","ENPAK20","ENP","AK","K = 1",1,"Cluster1",1
"3","ENPAK21","ENP","AK","K = 1",1,"Cluster1",1
"4","ENPAK22","ENP","AK","K = 1",1,"Cluster1",1
"5","ENPAK23","ENP","AK","K = 1",1,"Cluster1",1
"6","ENPAK24","ENP","AK","K = 1",1,"Cluster1",1
"7","ENPAK25","ENP","AK","K = 1",1,"Cluster1",1
"8","ENPAK26","ENP","AK","K = 1",1,"Cluster1",1
"9","ENPAK27","ENP","AK","K = 1",1,"Cluster1",1
"10","ENPAK28","ENP","AK","K = 1",1,"Cluster1",1
"11","ENPAK29","ENP","AK","K = 1",1,"Cluster1",1
"12","ENPAK30","ENP","AK","K = 1",1,"Cluster1",1
"13","ENPBC16","ENP","BC","K = 1",1,"Cluster1",1
"14","ENPBC17","ENP","BC","K = 1",1,"Cluster1",1
"15","ENPBC18","ENP","BC","K = 1",1,"Cluster1",1
"16","ENPCA01","ENP","CA","K = 1",1,"Cluster1",1
"17","ENPCA02","ENP","CA","K = 1",1,"Cluster1",1
"18","ENPCA03","ENP","CA","K = 1",1,"Cluster1",1
"19","ENPCA04","ENP","CA","K = 1",1,"Cluster1",1
"20","ENPCA05","ENP","CA","K = 1",1,"Cluster1",1
"21","ENPCA06","ENP","CA","K = 1",1,"Cluster1",1
"22","ENPCA07","ENP","CA","K = 1",1,"Cluster1",1
"23","ENPCA08","ENP","CA","K = 1",1,"Cluster1",1
"24","ENPCA09","ENP","CA","K = 1",1,"Cluster1",1
"25","ENPOR10","ENP","OR","K = 1",1,"Cluster1",1
"26","ENPOR11","ENP","OR","K = 1",1,"Cluster1",1
"27","ENPOR12","ENP","OR","K = 1",1,"Cluster1",1
"28","ENPOR13","ENP","OR","K = 1",1,"Cluster1",1
"29","ENPWA14","ENP","WA","K = 1",1,"Cluster1",1
"30","ENPWA15","ENP","WA","K = 1",1,"Cluster1",1
"31","ENPAK19","ENP","AK","K = 1",2,"Cluster1",1
"32","ENPAK20","ENP","AK","K = 1",2,"Cluster1",1
"33","ENPAK21","ENP","AK","K = 1",2,"Cluster1",1
"34","ENPAK22","ENP","AK","K = 1",2,"Cluster1",1
"35","ENPAK23","ENP","AK","K = 1",2,"Cluster1",1
"36","ENPAK24","ENP","AK","K = 1",2,"Cluster1",1
"37","ENPAK25","ENP","AK","K = 1",2,"Cluster1",1
"38","ENPAK26","ENP","AK","K = 1",2,"Cluster1",1
"39","ENPAK27","ENP","AK","K = 1",2,"Cluster1",1
"40","ENPAK28","ENP","AK","K = 1",2,"Cluster1",1
"41","ENPAK29","ENP","AK","K = 1",2,"Cluster1",1
"42","ENPAK30","ENP","AK","K = 1",2,"Cluster1",1
"43","ENPBC16","ENP","BC","K = 1",2,"Cluster1",1
"44","ENPBC17","ENP","BC","K = 1",2,"Cluster1",1
"45","ENPBC18","ENP","BC","K = 1",2,"Cluster1",1
"46","ENPCA01","ENP","CA","K = 1",2,"Cluster1",1
"47","ENPCA02","ENP","CA","K = 1",2,"Cluster1",1
"48","ENPCA03","ENP","CA","K = 1",2,"Cluster1",1
"49","ENPCA04","ENP","CA","K = 1",2,"Cluster1",1
"50","ENPCA05","ENP","CA","K = 1",2,"Cluster1",1
"51","ENPCA06","ENP","CA","K = 1",2,"Cluster1",1
"52","ENPCA07","ENP","CA","K = 1",2,"Cluster1",1
"53","ENPCA08","ENP","CA","K = 1",2,"Cluster1",1
"54","ENPCA09","ENP","CA","K = 1",2,"Cluster1",1
"55","ENPOR10","ENP","OR","K = 1",2,"Cluster1",1
"56","ENPOR11","ENP","OR","K = 1",2,"Cluster1",1
"57","ENPOR12","ENP","OR","K = 1",2,"Cluster1",1
"58","ENPOR13","ENP","OR","K = 1",2,"Cluster1",1
"59","ENPWA14","ENP","WA","K = 1",2,"Cluster1",1
"60","ENPWA15","ENP","WA","K = 1",2,"Cluster1",1
"61","ENPAK19","ENP","AK","K = 1",3,"Cluster1",1
"62","ENPAK20","ENP","AK","K = 1",3,"Cluster1",1
"63","ENPAK21","ENP","AK","K = 1",3,"Cluster1",1
"64","ENPAK22","ENP","AK","K = 1",3,"Cluster1",1
"65","ENPAK23","ENP","AK","K = 1",3,"Cluster1",1
"66","ENPAK24","ENP","AK","K = 1",3,"Cluster1",1
"67","ENPAK25","ENP","AK","K = 1",3,"Cluster1",1
"68","ENPAK26","ENP","AK","K = 1",3,"Cluster1",1
"69","ENPAK27","ENP","AK","K = 1",3,"Cluster1",1
"70","ENPAK28","ENP","AK","K = 1",3,"Cluster1",1
"71","ENPAK29","ENP","AK","K = 1",3,"Cluster1",1
"72","ENPAK30","ENP","AK","K = 1",3,"Cluster1",1
"73","ENPBC16","ENP","BC","K = 1",3,"Cluster1",1
"74","ENPBC17","ENP","BC","K = 1",3,"Cluster1",1
"75","ENPBC18","ENP","BC","K = 1",3,"Cluster1",1
"76","ENPCA01","ENP","CA","K = 1",3,"Cluster1",1
"77","ENPCA02","ENP","CA","K = 1",3,"Cluster1",1
"78","ENPCA03","ENP","CA","K = 1",3,"Cluster1",1
"79","ENPCA04","ENP","CA","K = 1",3,"Cluster1",1
"80","ENPCA05","ENP","CA","K = 1",3,"Cluster1",1
"81","ENPCA06","ENP","CA","K = 1",3,"Cluster1",1
"82","ENPCA07","ENP","CA","K = 1",3,"Cluster1",1
"83","ENPCA08","ENP","CA","K = 1",3,"Cluster1",1
"84","ENPCA09","ENP","CA","K = 1",3,"Cluster1",1
"85","ENPOR10","ENP","OR","K = 1",3,"Cluster1",1
"86","ENPOR11","ENP","OR","K = 1",3,"Cluster1",1
"87","ENPOR12","ENP","OR","K = 1",3,"Cluster1",1
"88","ENPOR13","ENP","OR","K = 1",3,"Cluster1",1
"89","ENPWA14","ENP","WA","K = 1",3,"Cluster1",1
"90","ENPWA15","ENP","WA","K = 1",3,"Cluster1",1
"91","ENPAK19","ENP","AK","K = 1",4,"Cluster1",1
"92","ENPAK20","ENP","AK","K = 1",4,"Cluster1",1
"93","ENPAK21","ENP","AK","K = 1",4,"Cluster1",1
"94","ENPAK22","ENP","AK","K = 1",4,"Cluster1",1
"95","ENPAK23","ENP","AK","K = 1",4,"Cluster1",1
"96","ENPAK24","ENP","AK","K = 1",4,"Cluster1",1
"97","ENPAK25","ENP","AK","K = 1",4,"Cluster1",1
"98","ENPAK26","ENP","AK","K = 1",4,"Cluster1",1
"99","ENPAK27","ENP","AK","K = 1",4,"Cluster1",1
"100","ENPAK28","ENP","AK","K = 1",4,"Cluster1",1
"101","ENPAK29","ENP","AK","K = 1",4,"Cluster1",1
"102","ENPAK30","ENP","AK","K = 1",4,"Cluster1",1
"103","ENPBC16","ENP","BC","K = 1",4,"Cluster1",1
"104","ENPBC17","ENP","BC","K = 1",4,"Cluster1",1
"105","ENPBC18","ENP","BC","K = 1",4,"Cluster1",1
"106","ENPCA01","ENP","CA","K = 1",4,"Cluster1",1
"107","ENPCA02","ENP","CA","K = 1",4,"Cluster1",1
"108","ENPCA03","ENP","CA","K = 1",4,"Cluster1",1
"109","ENPCA04","ENP","CA","K = 1",4,"Cluster1",1
"110","ENPCA05","ENP","CA","K = 1",4,"Cluster1",1
"111","ENPCA06","ENP","CA","K = 1",4,"Cluster1",1
"112","ENPCA07","ENP","CA","K = 1",4,"Cluster1",1
"113","ENPCA08","ENP","CA","K = 1",4,"Cluster1",1
"114","ENPCA09","ENP","CA","K = 1",4,"Cluster1",1
"115","ENPOR10","ENP","OR","K = 1",4,"Cluster1",1
"116","ENPOR11","ENP","OR","K = 1",4,"Cluster1",1
"117","ENPOR12","ENP","OR","K = 1",4,"Cluster1",1
"118","ENPOR13","ENP","OR","K = 1",4,"Cluster1",1
"119","ENPWA14","ENP","WA","K = 1",4,"Cluster1",1
"120","ENPWA15","ENP","WA","K = 1",4,"Cluster1",1
"121","ENPAK19","ENP","AK","K = 1",5,"Cluster1",1
"122","ENPAK20","ENP","AK","K = 1",5,"Cluster1",1
"123","ENPAK21","ENP","AK","K = 1",5,"Cluster1",1
"124","ENPAK22","ENP","AK","K = 1",5,"Cluster1",1
"125","ENPAK23","ENP","AK","K = 1",5,"Cluster1",1
"126","ENPAK24","ENP","AK","K = 1",5,"Cluster1",1
"127","ENPAK25","ENP","AK","K = 1",5,"Cluster1",1
"128","ENPAK26","ENP","AK","K = 1",5,"Cluster1",1
"129","ENPAK27","ENP","AK","K = 1",5,"Cluster1",1
"130","ENPAK28","ENP","AK","K = 1",5,"Cluster1",1
"131","ENPAK29","ENP","AK","K = 1",5,"Cluster1",1
"132","ENPAK30","ENP","AK","K = 1",5,"Cluster1",1
"133","ENPBC16","ENP","BC","K = 1",5,"Cluster1",1
"134","ENPBC17","ENP","BC","K = 1",5,"Cluster1",1
"135","ENPBC18","ENP","BC","K = 1",5,"Cluster1",1
"136","ENPCA01","ENP","CA","K = 1",5,"Cluster1",1
"137","ENPCA02","ENP","CA","K = 1",5,"Cluster1",1
"138","ENPCA03","ENP","CA","K = 1",5,"Cluster1",1
"139","ENPCA04","ENP","CA","K = 1",5,"Cluster1",1
"140","ENPCA05","ENP","CA","K = 1",5,"Cluster1",1
"141","ENPCA06","ENP","CA","K = 1",5,"Cluster1",1
"142","ENPCA07","ENP","CA","K = 1",5,"Cluster1",1
"143","ENPCA08","ENP","CA","K = 1",5,"Cluster1",1
"144","ENPCA09","ENP","CA","K = 1",5,"Cluster1",1
"145","ENPOR10","ENP","OR","K = 1",5,"Cluster1",1
"146","ENPOR11","ENP","OR","K = 1",5,"Cluster1",1
"147","ENPOR12","ENP","OR","K = 1",5,"Cluster1",1
"148","ENPOR13","ENP","OR","K = 1",5,"Cluster1",1
