"","parent","node","branch.length","label","isTip","x","y","branch","angle","SpeciesId","PopId","SubPopId","boot_strap_support","nodebt"
"1",107,1,248.048076923077,"BalAcu02",TRUE,248.048076923077,2,124.024038461538,13.3333333333333,"BalAcu","BalAcu","BalAcu",NA,NA
"2",106,2,221.700980392157,"BalMus01",TRUE,265,3,154.149509803922,20,"BalMus","BalMus","BalMus",NA,NA
"3",64,3,833.46784125434,"ENPAK19",TRUE,1564.41533941403,47,1147.68141878686,313.333333333333,"BalPhy","ENP","AK",NA,NA
"4",75,4,829.796118164062,"ENPAK20",TRUE,1577.11216503489,50,1162.21410595286,333.333333333333,"BalPhy","ENP","AK",NA,NA
"5",80,5,794.75939453125,"ENPAK21",TRUE,1538.89820853528,27,1141.51851126966,180,"BalPhy","ENP","AK",NA,NA
"6",77,6,822.218639026989,"ENPAK22",TRUE,1570.65008381574,53,1159.54076430224,353.333333333333,"BalPhy","ENP","AK",NA,NA
"7",75,7,820.203881835938,"ENPAK23",TRUE,1567.51992870677,51,1157.4179877888,340,"BalPhy","ENP","AK",NA,NA
"8",79,8,827.446716308594,"ENPAK24",TRUE,1575.59170420675,32,1161.86834605245,213.333333333333,"BalPhy","ENP","AK",NA,NA
"9",76,9,813.614095052083,"ENPAK25",TRUE,1557.23803917277,45,1150.43099164673,300,"BalPhy","ENP","AK",NA,NA
"10",70,10,841.753824869792,"ENPAK26",TRUE,1573.89744558044,34,1153.02053314555,226.666666666667,"BalPhy","ENP","AK",NA,NA
"11",68,11,827.452646108774,"ENPAK27",TRUE,1565.8367370063,52,1152.11041395191,346.666666666667,"BalPhy","ENP","AK",NA,NA
"12",78,12,839.497325067935,"ENPAK28",TRUE,1585.3871209088,35,1165.63845837483,233.333333333333,"BalPhy","ENP","AK",NA,NA
"13",80,13,810.24060546875,"ENPAK29",TRUE,1554.37941947278,28,1149.25911673841,186.666666666667,"BalPhy","ENP","AK",NA,NA
"14",63,14,834.069213867188,"ENPAK30",TRUE,1560.85100125977,41,1143.81639432617,273.333333333333,"BalPhy","ENP","AK",NA,NA
"15",77,15,818.781360973011,"ENPBC16",TRUE,1567.21280576176,54,1157.82212527525,360,"BalPhy","ENP","BC",NA,NA
"16",78,16,814.502674932065,"ENPBC17",TRUE,1560.39247077293,36,1153.14113330689,240,"BalPhy","ENP","BC",NA,NA
"17",69,17,835.145324707031,"ENPBC18",TRUE,1570.91459353475,44,1153.34193118123,293.333333333333,"BalPhy","ENP","BC",NA,NA
"18",83,18,759.508928571429,"ENPCA01",TRUE,1519.91201842419,39,1140.15755413847,260,"BalPhy","ENP","CA",NA,NA
"19",84,19,790.212924299569,"ENPCA02",TRUE,1577.19258120492,48,1182.08611905513,320,"BalPhy","ENP","CA",NA,NA
"20",84,20,765.787075700431,"ENPCA03",TRUE,1552.76673260578,49,1169.87319475556,326.666666666667,"BalPhy","ENP","CA",NA,NA
"21",83,21,802.491071428571,"ENPCA04",TRUE,1562.89416128133,40,1161.64862556704,266.666666666667,"BalPhy","ENP","CA",NA,NA
"22",73,22,815.818929036458,"ENPCA05",TRUE,1552.54094792567,38,1144.63148340744,253.333333333333,"BalPhy","ENP","CA",NA,NA
"23",72,23,848.15716193704,"ENPCA06",TRUE,1575.95313787812,26,1151.87455690959,173.333333333333,"BalPhy","ENP","CA",NA,NA
"24",81,24,822.514986478365,"ENPCA07",TRUE,1573.22756000376,42,1161.97006676457,280,"BalPhy","ENP","CA",NA,NA
"25",76,25,826.385904947917,"ENPCA08",TRUE,1570.0098490686,46,1156.81689659465,306.666666666667,"BalPhy","ENP","CA",NA,NA
"26",82,26,751.162109375,"ENPCA09",TRUE,1435.51397424494,24,1059.93291955744,160,"BalPhy","ENP","CA",NA,NA
"27",71,27,830.445381164551,"ENPOR10",TRUE,1564.90113769877,29,1149.6784471165,193.333333333333,"BalPhy","ENP","OR",NA,NA
"28",81,28,811.485013521635,"ENPOR11",TRUE,1562.19758704703,43,1156.45508028621,286.666666666667,"BalPhy","ENP","OR",NA,NA
"29",79,29,831.553283691406,"ENPOR12",TRUE,1579.69827158956,33,1163.92162974386,220,"BalPhy","ENP","OR",NA,NA
"30",85,30,765.83798828125,"ENPOR13",TRUE,1571.84836365092,30,1188.92936951029,200,"BalPhy","ENP","OR",NA,NA
"31",85,31,769.16201171875,"ENPWA14",TRUE,1575.17238708842,31,1190.59138122904,206.666666666667,"BalPhy","ENP","WA",NA,NA
"32",66,32,867.408269708807,"ENPWA15",TRUE,1599.03855830683,37,1165.33442345243,246.666666666667,"BalPhy","ENP","WA",NA,NA
"33",55,33,251.951923076923,"EubGla01",TRUE,251.951923076923,1,125.975961538462,6.66666666666667,"EubGla","EubGla","EubGla",NA,NA
"34",97,34,488.688988095238,"GOC002",TRUE,1191.97847521747,17,947.633981169854,113.333333333333,"BalPhy","GOC","GOC",NA,NA
"35",104,35,338.668367346939,"GOC006",TRUE,1186.88208486572,22,1017.54790119225,146.666666666667,"BalPhy","GOC","GOC",NA,NA
"36",74,36,758.722026624178,"GOC010",TRUE,1457.02959924494,25,1077.66858593285,166.666666666667,"BalPhy","GOC","GOC",NA,NA
"37",103,37,385.5078125,"GOC025",TRUE,1189.31746025133,20,996.563554001335,133.333333333333,"BalPhy","GOC","GOC",NA,NA
"38",96,38,479.162347560976,"GOC038",TRUE,1179.55433052581,9,939.973156745318,60,"BalPhy","GOC","GOC",NA,NA
"39",92,39,499.255067567568,"GOC050",TRUE,1187.19735011486,12,937.56981633108,80,"BalPhy","GOC","GOC",NA,NA
"40",102,40,414.8125,"GOC053",TRUE,1193.12578653971,5,985.719536539714,33.3333333333333,"BalPhy","GOC","GOC",NA,NA
"41",99,41,488.417613636364,"GOC063",TRUE,1198.74193983445,15,954.533133016272,100,"BalPhy","GOC","GOC",NA,NA
"42",90,42,510.748381696429,"GOC068",TRUE,1193.60375018122,14,938.229559333011,93.3333333333333,"BalPhy","GOC","GOC",NA,NA
"43",102,43,407.1875,"GOC071",TRUE,1185.50078653971,6,981.907036539714,40,"BalPhy","GOC","GOC",NA,NA
"44",101,44,476.623641304348,"GOC077",TRUE,1202.3532767082,10,964.041456056028,66.6666666666667,"BalPhy","GOC","GOC",NA,NA
"45",104,45,321.331632653061,"GOC080",TRUE,1169.54535017184,23,1008.87953384531,153.333333333333,"BalPhy","GOC","GOC",NA,NA
