"","sample","winhetbin_center","winhet_min","winhetbin_max","count"
"1","BalAcu02",0,-0.075,0.075,25
"2","BalAcu02",0.15,0.075,0.225,56
"3","BalAcu02",0.3,0.225,0.375,176
"4","BalAcu02",0.45,0.375,0.525,464
"5","BalAcu02",0.6,0.525,0.675,612
"6","BalAcu02",0.75,0.675,0.825,507
"7","BalAcu02",0.9,0.825,0.975,267
"8","BalAcu02",1.05,0.975,1.125,104
"9","BalAcu02",1.2,1.125,1.275,27
"10","BalAcu02",1.35,1.275,1.425,7
"11","BalAcu02",1.5,1.425,1.575,8
"12","BalAcu02",1.65,1.575,1.725,2
"13","BalAcu02",1.8,1.725,1.875,0
"14","BalAcu02",1.95,1.875,2.025,2
"15","BalAcu02",2.1,2.025,2.175,0
"16","BalAcu02",2.25,2.175,2.325,1
"17","BalAcu02",2.4,2.325,2.475,0
"18","BalAcu02",2.55,2.475,2.625,0
"19","BalAcu02",2.7,2.625,2.775,0
"20","BalAcu02",2.85,2.775,2.925,0
"21","BalAcu02",3,2.925,3.075,0
"22","BalAcu02",3.15,3.075,3.225,0
"23","BalAcu02",3.3,3.225,3.375,0
"24","BalAcu02",3.45,3.375,3.525,0
"25","BalAcu02",3.6,3.525,3.675,0
"26","BalAcu02",3.75,3.675,3.825,0
"27","BalAcu02",3.9,3.825,3.975,0
"28","BalAcu02",4.05,3.975,4.125,0
"29","BalAcu02",4.2,4.125,4.275,0
"30","BalAcu02",4.35,4.275,4.425,0
"31","BalAcu02",4.5,4.425,4.575,0
"32","BalAcu02",4.65,4.575,4.725,0
"33","BalAcu02",4.8,4.725,4.875,0
"34","BalAcu02",4.95,4.875,5.025,0
"35","BalAcu02",5.1,5.025,5.175,0
"36","BalAcu02",5.25,5.175,5.325,0
"37","BalAcu02",5.4,5.325,5.475,0
"38","BalAcu02",5.55,5.475,5.625,0
"39","BalAcu02",5.7,5.625,5.775,0
"40","BalAcu02",5.85,5.775,5.925,0
"41","BalAcu02",6,5.925,6.075,0
"42","BalAcu02",6.15,6.075,6.225,0
"43","BalAcu02",6.3,6.225,6.375,0
"44","BalAcu02",6.45,6.375,6.525,0
"45","BalAcu02",6.6,6.525,6.675,0
"46","BalAcu02",6.75,6.675,6.825,0
"47","BalAcu02",6.9,6.825,6.975,0
"48","BalAcu02",7.05,6.975,7.125,0
"49","BalAcu02",7.2,7.125,7.275,0
"50","BalAcu02",7.35,7.275,7.425,0
"51","BalAcu02",7.5,7.425,7.575,0
"52","BalAcu02",7.65,7.575,7.725,0
"53","BalAcu02",7.8,7.725,7.875,0
"54","BalAcu02",7.95,7.875,8.025,0
"55","BalAcu02",8.1,8.025,8.175,0
"56","BalAcu02",8.25,8.175,8.325,0
"57","BalAcu02",8.4,8.325,8.475,0
"58","BalAcu02",8.55,8.475,8.625,0
"59","BalAcu02",8.7,8.625,8.775,0
"60","BalAcu02",8.85,8.775,8.925,0
"61","BalAcu02",9,8.925,9.075,0
"62","BalAcu02",9.15,9.075,9.225,0
"63","MegNov01",0,-0.075,0.075,39
"64","MegNov01",0.15,0.075,0.225,12
"65","MegNov01",0.3,0.225,0.375,35
"66","MegNov01",0.45,0.375,0.525,65
"67","MegNov01",0.6,0.525,0.675,113
"68","MegNov01",0.75,0.675,0.825,187
"69","MegNov01",0.9,0.825,0.975,262
"70","MegNov01",1.05,0.975,1.125,318
"71","MegNov01",1.2,1.125,1.275,344
"72","MegNov01",1.35,1.275,1.425,293
"73","MegNov01",1.5,1.425,1.575,204
"74","MegNov01",1.65,1.575,1.725,155
"75","MegNov01",1.8,1.725,1.875,101
"76","MegNov01",1.95,1.875,2.025,47
"77","MegNov01",2.1,2.025,2.175,32
"78","MegNov01",2.25,2.175,2.325,19
"79","MegNov01",2.4,2.325,2.475,17
"80","MegNov01",2.55,2.475,2.625,7
"81","MegNov01",2.7,2.625,2.775,2
"82","MegNov01",2.85,2.775,2.925,1
"83","MegNov01",3,2.925,3.075,1
"84","MegNov01",3.15,3.075,3.225,1
"85","MegNov01",3.3,3.225,3.375,0
"86","MegNov01",3.45,3.375,3.525,0
"87","MegNov01",3.6,3.525,3.675,0
"88","MegNov01",3.75,3.675,3.825,1
"89","MegNov01",3.9,3.825,3.975,0
"90","MegNov01",4.05,3.975,4.125,0
"91","MegNov01",4.2,4.125,4.275,0
"92","MegNov01",4.35,4.275,4.425,0
"93","MegNov01",4.5,4.425,4.575,0
"94","MegNov01",4.65,4.575,4.725,0
"95","MegNov01",4.8,4.725,4.875,0
"96","MegNov01",4.95,4.875,5.025,1
"97","MegNov01",5.1,5.025,5.175,0
