"","SampleId","PopId","SubPopId","type","length","bcftools","RZooRoH"
"1","ENPAK19","ENP","AK","Total number","0.1_1",384,418
"2","ENPAK20","ENP","AK","Total number","0.1_1",376,408
"3","ENPAK21","ENP","AK","Total number","0.1_1",378,374
"4","ENPAK22","ENP","AK","Total number","0.1_1",398,413
"5","ENPAK23","ENP","AK","Total number","0.1_1",413,431
"6","ENPAK24","ENP","AK","Total number","0.1_1",387,432
"7","ENPAK25","ENP","AK","Total number","0.1_1",422,430
"8","ENPAK26","ENP","AK","Total number","0.1_1",418,410
"9","ENPAK27","ENP","AK","Total number","0.1_1",395,404
"10","ENPAK28","ENP","AK","Total number","0.1_1",407,430
"11","ENPAK29","ENP","AK","Total number","0.1_1",395,436
"12","ENPAK30","ENP","AK","Total number","0.1_1",381,418
"13","ENPBC16","ENP","BC","Total number","0.1_1",368,411
"14","ENPBC17","ENP","BC","Total number","0.1_1",369,390
"15","ENPBC18","ENP","BC","Total number","0.1_1",369,391
"16","ENPCA01","ENP","CA","Total number","0.1_1",376,376
"17","ENPCA02","ENP","CA","Total number","0.1_1",418,444
"18","ENPCA03","ENP","CA","Total number","0.1_1",398,404
"19","ENPCA04","ENP","CA","Total number","0.1_1",405,418
"20","ENPCA05","ENP","CA","Total number","0.1_1",380,433
"21","ENPCA06","ENP","CA","Total number","0.1_1",384,388
"22","ENPCA07","ENP","CA","Total number","0.1_1",388,423
"23","ENPCA08","ENP","CA","Total number","0.1_1",430,484
"24","ENPOR10","ENP","OR","Total number","0.1_1",411,418
"25","ENPOR11","ENP","OR","Total number","0.1_1",412,464
"26","ENPOR13","ENP","OR","Total number","0.1_1",413,410
"27","ENPWA14","ENP","WA","Total number","0.1_1",401,416
"28","ENPWA15","ENP","WA","Total number","0.1_1",374,410
"29","GOC002","GOC","GOC","Total number","0.1_1",1111,1292
"30","GOC006","GOC","GOC","Total number","0.1_1",1053,1177
"31","GOC025","GOC","GOC","Total number","0.1_1",1112,1248
"32","GOC038","GOC","GOC","Total number","0.1_1",1077,1193
"33","GOC050","GOC","GOC","Total number","0.1_1",1146,1285
"34","GOC053","GOC","GOC","Total number","0.1_1",1077,1220
"35","GOC063","GOC","GOC","Total number","0.1_1",1055,1179
"36","GOC068","GOC","GOC","Total number","0.1_1",1069,1226
"37","GOC071","GOC","GOC","Total number","0.1_1",1072,1214
"38","GOC077","GOC","GOC","Total number","0.1_1",1103,1268
"39","GOC080","GOC","GOC","Total number","0.1_1",1055,1219
"40","GOC082","GOC","GOC","Total number","0.1_1",1017,1187
"41","GOC086","GOC","GOC","Total number","0.1_1",1108,1281
"42","GOC091","GOC","GOC","Total number","0.1_1",1115,1243
"43","GOC100","GOC","GOC","Total number","0.1_1",1114,1289
"44","GOC111","GOC","GOC","Total number","0.1_1",1145,1331
"45","GOC112","GOC","GOC","Total number","0.1_1",1142,1339
"46","GOC116","GOC","GOC","Total number","0.1_1",1170,1360
"47","GOC125","GOC","GOC","Total number","0.1_1",1017,1148
"48","ENPAK19","ENP","AK","Total number","1_5",4,5
"49","ENPAK20","ENP","AK","Total number","1_5",4,4
"50","ENPAK21","ENP","AK","Total number","1_5",34,32
"51","ENPAK22","ENP","AK","Total number","1_5",31,32
"52","ENPAK23","ENP","AK","Total number","1_5",3,2
"53","ENPAK24","ENP","AK","Total number","1_5",4,5
"54","ENPAK25","ENP","AK","Total number","1_5",32,32
"55","ENPAK26","ENP","AK","Total number","1_5",33,33
"56","ENPAK27","ENP","AK","Total number","1_5",35,33
"57","ENPAK28","ENP","AK","Total number","1_5",38,37
"58","ENPAK29","ENP","AK","Total number","1_5",1,1
"59","ENPAK30","ENP","AK","Total number","1_5",5,4
"60","ENPBC16","ENP","BC","Total number","1_5",6,6
"61","ENPBC17","ENP","BC","Total number","1_5",32,32
"62","ENPBC18","ENP","BC","Total number","1_5",33,33
"63","ENPCA01","ENP","CA","Total number","1_5",44,41
