"","SampleId","PopId","SubPopId","MutType","variable","value"
"1","ENPAK19","ENP","AK","SYN","Derived Alleles",25650.0197078618
"2","ENPAK20","ENP","AK","SYN","Derived Alleles",25670.1177129064
"3","ENPAK21","ENP","AK","SYN","Derived Alleles",25326.947662393
"4","ENPAK22","ENP","AK","SYN","Derived Alleles",25530.422921784
"5","ENPAK23","ENP","AK","SYN","Derived Alleles",25567.7099143633
"6","ENPAK24","ENP","AK","SYN","Derived Alleles",25519.9072183842
"7","ENPAK25","ENP","AK","SYN","Derived Alleles",25491.3053261445
"8","ENPAK26","ENP","AK","SYN","Derived Alleles",25591.0027616387
"9","ENPAK27","ENP","AK","SYN","Derived Alleles",25632.2150491085
"10","ENPAK28","ENP","AK","SYN","Derived Alleles",25517.3584487159
"11","ENPAK29","ENP","AK","SYN","Derived Alleles",25642.1640738359
"12","ENPAK30","ENP","AK","SYN","Derived Alleles",25883.7733002358
"13","ENPBC16","ENP","BC","SYN","Derived Alleles",25428.9581773858
"14","ENPBC17","ENP","BC","SYN","Derived Alleles",25548.604663612
"15","ENPBC18","ENP","BC","SYN","Derived Alleles",25662.4398959358
"16","ENPCA02","ENP","CA","SYN","Derived Alleles",25492.8947991266
"17","ENPCA03","ENP","CA","SYN","Derived Alleles",25646.4304801444
"18","ENPCA04","ENP","CA","SYN","Derived Alleles",25695.4514774774
"19","ENPCA05","ENP","CA","SYN","Derived Alleles",25559.4723350585
"20","ENPCA06","ENP","CA","SYN","Derived Alleles",25751.1281376008
"21","ENPCA07","ENP","CA","SYN","Derived Alleles",25533.0061946477
"22","ENPCA08","ENP","CA","SYN","Derived Alleles",25802.987922281
"23","ENPOR10","ENP","OR","SYN","Derived Alleles",25572.439527334
"24","ENPOR11","ENP","OR","SYN","Derived Alleles",25691.3130555754
"25","ENPOR13","ENP","OR","SYN","Derived Alleles",25525.9759044164
"26","ENPWA14","ENP","WA","SYN","Derived Alleles",25567.5268614119
"27","ENPWA15","ENP","WA","SYN","Derived Alleles",25694.1762194944
"28","GOC002","GOC","GOC","SYN","Derived Alleles",25724.9303177787
"29","GOC006","GOC","GOC","SYN","Derived Alleles",25608.2151373126
"30","GOC025","GOC","GOC","SYN","Derived Alleles",25488.3703105812
"31","GOC038","GOC","GOC","SYN","Derived Alleles",25565.3191009117
"32","GOC050","GOC","GOC","SYN","Derived Alleles",25589.4813167507
"33","GOC053","GOC","GOC","SYN","Derived Alleles",25465.435917993
"34","GOC063","GOC","GOC","SYN","Derived Alleles",25622.8248646782
"35","GOC068","GOC","GOC","SYN","Derived Alleles",25763.2360502159
"36","GOC071","GOC","GOC","SYN","Derived Alleles",25678.6183828898
"37","GOC077","GOC","GOC","SYN","Derived Alleles",25764.4445957447
"38","GOC082","GOC","GOC","SYN","Derived Alleles",25614.2794811358
"39","GOC086","GOC","GOC","SYN","Derived Alleles",25614.0911344019
"40","GOC091","GOC","GOC","SYN","Derived Alleles",25803.0455928884
