"","chrom","window_start","window_end","sites_total","calls","hets","hetpkb","winlen","merge_start","sample","subpop"
"1","NW_006724458.1",1,1000000,377006,359912,372,1.03358598768588,1e+06,1,"ENPAK19","AK"
"2","NW_006724458.1",1000001,2000000,432461,416803,620,1.48751328565293,1e+06,1000001,"ENPAK19","AK"
"3","NW_006724458.1",2000001,3000000,412396,396520,731,1.84353878745082,1e+06,2000001,"ENPAK19","AK"
"4","NW_006724458.1",3000001,4000000,374317,359867,984,2.7343435213565,1e+06,3000001,"ENPAK19","AK"
"5","NW_006724458.1",4000001,5000000,316374,302105,482,1.59547177305904,1e+06,4000001,"ENPAK19","AK"
"6","NW_006724458.1",5000001,6000000,329579,311606,444,1.42487628607922,1e+06,5000001,"ENPAK19","AK"
"7","NW_006724458.1",6000001,7000000,325061,311214,529,1.69979499636906,1e+06,6000001,"ENPAK19","AK"
"8","NW_006724458.1",7000001,8000000,399720,383224,771,2.01187817046949,1e+06,7000001,"ENPAK19","AK"
"9","NW_006724458.1",8000001,9000000,375606,358958,433,1.20626925712757,1e+06,8000001,"ENPAK19","AK"
"10","NW_006724458.1",9000001,10000000,368909,349811,424,1.21208309630057,1e+06,9000001,"ENPAK19","AK"
"11","NW_006724458.1",10000001,11000000,363442,341476,365,1.06888917522754,1e+06,10000001,"ENPAK19","AK"
"12","NW_006724458.1",11000001,12000000,294490,274771,464,1.68867893627785,1e+06,11000001,"ENPAK19","AK"
"13","NW_006724458.1",12000001,13000000,347933,327975,456,1.39034987422822,1e+06,12000001,"ENPAK19","AK"
"14","NW_006724458.1",13000001,14000000,404682,380956,637,1.67210911496341,1e+06,13000001,"ENPAK19","AK"
"15","NW_006724458.1",14000001,15000000,368316,347144,473,1.36254695457793,1e+06,14000001,"ENPAK19","AK"
"16","NW_006724458.1",15000001,16000000,375473,356563,492,1.37984030872525,1e+06,15000001,"ENPAK19","AK"
"17","NW_006724458.1",16000001,17000000,378454,354902,358,1.00872917030617,1e+06,16000001,"ENPAK19","AK"
"18","NW_006724458.1",17000001,18000000,439809,413606,566,1.36845210175868,1e+06,17000001,"ENPAK19","AK"
"19","NW_006724458.1",18000001,19000000,307004,287322,186,0.647357320358344,1e+06,18000001,"ENPAK19","AK"
"20","NW_006724458.1",19000001,20000000,310674,287937,1001,3.47645491895797,1e+06,19000001,"ENPAK19","AK"
"21","NW_006724458.1",20000001,21000000,352307,333510,461,1.38226739827891,1e+06,20000001,"ENPAK19","AK"
"22","NW_006724458.1",21000001,22000000,358736,337417,449,1.33069762341554,1e+06,21000001,"ENPAK19","AK"
"23","NW_006724458.1",22000001,23000000,380478,356319,955,2.68018264532624,1e+06,22000001,"ENPAK19","AK"
"24","NW_006724458.1",23000001,24000000,447047,424980,733,1.7247870488023,1e+06,23000001,"ENPAK19","AK"
"25","NW_006724458.1",24000001,25000000,418982,397595,756,1.90143236207699,1e+06,24000001,"ENPAK19","AK"
"26","NW_006724458.1",25000001,26000000,470727,443798,721,1.62461299960793,1e+06,25000001,"ENPAK19","AK"
"27","NW_006724458.1",26000001,27000000,403361,380488,466,1.22474296167028,1e+06,26000001,"ENPAK19","AK"
"28","NW_006724458.1",27000001,28000000,413292,396713,577,1.45445195897286,1e+06,27000001,"ENPAK19","AK"
"29","NW_006724458.1",28000001,29000000,402319,380107,459,1.20755471485661,1e+06,28000001,"ENPAK19","AK"
"30","NW_006724458.1",29000001,30000000,305425,290786,253,0.870055642293646,1e+06,29000001,"ENPAK19","AK"
"31","NW_006724458.1",30000001,31000000,379055,358028,794,2.21770364329047,1e+06,30000001,"ENPAK19","AK"
